number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
,,0,0,0,0,,,,,,,,,,,,,0.25,25.651,0.33,32.776,,,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
,,1,0,1,0,,,,,,,,,,,,,0.2,7.331,0.13,27.38,,,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
,,2,0,2,0,,,,,,,,,,,,,0.22,20.613,0.27,17.981,,,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
7,3,,,,,0,0,0,22,,,,,0,0,0,0,,,,,down,2.7587882769,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
7,3,,,,,0,0,0,22,,,,,1,0,1,0,,,,,down,5.60874315817,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
5,3,,,,,0,1,1,20,,,,,0,0,0,0,,,,,down,2.69211800492,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
5,3,,,,,0,1,1,20,,,,,1,0,1,0,,,,,down,1.90881129017,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
5,3,,,,,0,1,1,20,,,,,2,0,2,0,,,,,right,3.54209736007,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
5,3,,,,,0,1,1,20,,,,,3,0,3,0,,,,,down,1.4421335971,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
5,3,,,,,0,1,1,20,,,,,4,0,4,0,,,,,down,1.27547232521,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
6,3,,,,,0,2,2,21,,,,,0,0,0,0,,,,,down,2.54211867598,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
6,3,,,,,0,2,2,21,,,,,1,0,1,0,,,,,down,1.55006714514,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
2,1,,,,,0,3,3,1,,,,,0,0,0,0,,,,,down,1.95022417241,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
2,1,,,,,0,3,3,1,,,,,1,0,1,0,,,,,down,0.942109912779,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
7,1,,,,,0,4,4,6,,,,,0,0,0,0,,,,,down,3.64208362313,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
7,1,,,,,0,4,4,6,,,,,1,0,1,0,,,,,down,0.892117373354,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
6,1,,,,,0,5,5,5,,,,,0,0,0,0,,,,,down,7.17540711432,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
6,1,,,,,0,5,5,5,,,,,1,0,1,0,,,,,down,1.40878050053,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
5,1,,,,,0,6,6,4,,,,,0,0,0,0,,,,,down,2.43351959763,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
5,1,,,,,0,6,6,4,,,,,1,0,1,0,,,,,down,1.82544433823,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
7,2,,,,,0,7,7,14,,,,,0,0,0,0,,,,,down,5.26689898386,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
7,2,,,,,0,7,7,14,,,,,1,0,1,0,,,,,down,0.842148123513,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
1,3,,,,,0,8,8,16,,,,,0,0,0,0,,,,,down,0.92543612764,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
1,3,,,,,0,8,8,16,,,,,1,0,1,0,,,,,down,0.675446982961,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
8,3,,,,,0,9,9,23,,,,,0,0,0,0,,,,,left,1.75021888292,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
8,3,,,,,0,9,9,23,,,,,1,0,1,0,,,,,down,0.925461390958,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
8,3,,,,,0,9,9,23,,,,,2,0,2,0,,,,,left,1.02544489084,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
8,3,,,,,0,9,9,23,,,,,3,0,3,0,,,,,down,1.0753008505,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
8,3,,,,,0,9,9,23,,,,,4,0,4,0,,,,,left,1.19212037337,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
8,3,,,,,0,9,9,23,,,,,5,0,5,0,,,,,down,0.908831421868,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
8,3,,,,,0,9,9,23,,,,,6,0,6,0,,,,,left,0.992123768112,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
8,3,,,,,0,9,9,23,,,,,7,0,7,0,,,,,left,1.62543707501,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
8,3,,,,,0,9,9,23,,,,,8,0,8,0,,,,,left,0.958793566359,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
8,3,,,,,0,9,9,23,,,,,9,0,9,0,,,,,down,0.875461746211,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
8,3,,,,,0,9,9,23,,,,,10,0,10,0,,,,,down,0.78356842685,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
8,3,,,,,0,9,9,23,,,,,11,0,11,0,,,,,left,1.20878902689,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
8,3,,,,,0,9,9,23,,,,,12,0,12,0,,,,,down,1.07545519352,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
8,3,,,,,0,9,9,23,,,,,13,0,13,0,,,,,down,0.94211070225,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
1,2,,,,,0,10,10,8,,,,,0,0,0,0,,,,,down,0.800252475223,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
1,2,,,,,0,10,10,8,,,,,1,0,1,0,,,,,down,0.658779908408,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
4,3,,,,,0,11,11,19,,,,,0,0,0,0,,,,,left,1.45876514516,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
4,3,,,,,0,11,11,19,,,,,1,0,1,0,,,,,down,0.758833277156,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
4,3,,,,,0,11,11,19,,,,,2,0,2,0,,,,,down,1.02528699517,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
3,2,,,,,0,12,12,10,,,,,0,0,0,0,,,,,down,0.791960582923,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
3,2,,,,,0,12,12,10,,,,,1,0,1,0,,,,,down,0.558764039888,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
8,1,,,,,0,13,13,7,,,,,0,0,0,0,,,,,down,2.15877438206,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
8,1,,,,,0,13,13,7,,,,,1,0,1,0,,,,,down,0.558772329416,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
4,1,,,,,0,14,14,3,,,,,0,0,0,0,,,,,down,1.04214788668,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
4,1,,,,,0,14,14,3,,,,,1,0,1,0,,,,,down,0.392114610178,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
4,2,,,,,0,15,15,11,,,,,0,0,0,0,,,,,down,0.725472680497,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
4,2,,,,,0,15,15,11,,,,,1,0,1,0,,,,,down,0.675473825249,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
5,2,,,,,0,16,16,12,,,,,0,0,0,0,,,,,down,9.53329428047,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
5,2,,,,,0,16,16,12,,,,,1,0,1,0,,,,,down,0.67545921987,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
8,2,,,,,0,17,17,15,,,,,0,0,0,0,,,,,down,2.98354608464,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
8,2,,,,,0,17,17,15,,,,,1,0,1,0,,,,,down,1.70884942196,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
3,1,,,,,0,18,18,2,,,,,0,0,0,0,,,,,down,2.0002443436,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
3,1,,,,,0,18,18,2,,,,,1,0,1,0,,,,,down,1.52541844334,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
2,2,,,,,0,19,19,9,,,,,0,0,0,0,,,,,down,0.658794513758,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
2,2,,,,,0,19,19,9,,,,,1,0,1,0,,,,,down,0.433428412856,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
1,1,,,,,0,20,20,0,,,,,0,0,0,0,,,,,down,0.900215053931,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
1,1,,,,,0,20,20,0,,,,,1,0,1,0,,,,,down,0.508805053309,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
3,3,,,,,0,21,21,18,,,,,0,0,0,0,,,,,down,1.52542041702,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
3,3,,,,,0,21,21,18,,,,,1,0,1,0,,,,,down,0.792084925779,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
2,3,,,,,0,22,22,17,,,,,0,0,0,0,,,,,down,0.850253304146,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
2,3,,,,,0,22,22,17,,,,,1,0,1,0,,,,,down,0.908743395034,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
6,2,,,,,0,23,23,13,,,,,0,0,0,0,,,,,down,2.32542144335,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
6,2,,,,,0,23,23,13,,,,,1,0,1,0,,,,,down,1.325443154,YGY,m,20,59.9919957567,Set,2017_05_17_1609,
