size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.9, 2.9]",3,0,0,0,20,,,,,0,0,0,0,down,7.09207134671,AA,f,27,59.9875919575,Set,2017_12_21_1949,
"[2.9, 2.9]",3,0,0,0,20,,,,,1,0,1,0,down,5.05875298718,AA,f,27,59.9875919575,Set,2017_12_21_1949,
"[2.7, 2.7]",6,0,1,1,11,,,,,0,0,0,0,right,4.8835550847,AA,f,27,59.9875919575,Set,2017_12_21_1949,
"[2.7, 2.7]",6,0,1,1,11,,,,,1,0,1,0,down,1.04217157105,AA,f,27,59.9875919575,Set,2017_12_21_1949,
"[2.7, 2.7]",6,0,1,1,11,,,,,2,0,2,0,down,1.22539649589,AA,f,27,59.9875919575,Set,2017_12_21_1949,
"[2.8, 2.8]",4,0,2,2,15,,,,,0,0,0,0,left,1.73356325587,AA,f,27,59.9875919575,Set,2017_12_21_1949,
"[2.8, 2.8]",4,0,2,2,15,,,,,1,0,1,0,left,0.925438496051,AA,f,27,59.9875919575,Set,2017_12_21_1949,
"[2.8, 2.8]",4,0,2,2,15,,,,,2,0,2,0,down,1.40878563211,AA,f,27,59.9875919575,Set,2017_12_21_1949,
"[2.8, 2.8]",4,0,2,2,15,,,,,3,0,3,0,down,0.642127833911,AA,f,27,59.9875919575,Set,2017_12_21_1949,
"[2.9, 2.9]",6,0,3,3,23,,,,,0,0,0,0,left,0.892123294412,AA,f,27,59.9875919575,Set,2017_12_21_1949,
"[2.9, 2.9]",6,0,3,3,23,,,,,1,0,1,0,down,1.47550208855,AA,f,27,59.9875919575,Set,2017_12_21_1949,
"[2.9, 2.9]",6,0,3,3,23,,,,,2,0,2,0,left,0.742167781573,AA,f,27,59.9875919575,Set,2017_12_21_1949,
"[2.9, 2.9]",6,0,3,3,23,,,,,3,0,3,0,left,0.583576953271,AA,f,27,59.9875919575,Set,2017_12_21_1949,
"[2.9, 2.9]",6,0,3,3,23,,,,,4,0,4,0,down,0.958771855687,AA,f,27,59.9875919575,Set,2017_12_21_1949,
"[2.9, 2.9]",6,0,3,3,23,,,,,5,0,5,0,left,0.958739881869,AA,f,27,59.9875919575,Set,2017_12_21_1949,
"[2.9, 2.9]",6,0,3,3,23,,,,,6,0,6,0,left,0.858757960959,AA,f,27,59.9875919575,Set,2017_12_21_1949,
"[2.9, 2.9]",6,0,3,3,23,,,,,7,0,7,0,down,1.05879364535,AA,f,27,59.9875919575,Set,2017_12_21_1949,
"[2.9, 2.9]",6,0,3,3,23,,,,,8,0,8,0,down,0.742167781456,AA,f,27,59.9875919575,Set,2017_12_21_1949,
"[2.9, 2.9]",6,0,3,3,23,,,,,9,0,9,0,left,0.542123807594,AA,f,27,59.9875919575,Set,2017_12_21_1949,
"[2.9, 2.9]",6,0,3,3,23,,,,,10,0,10,0,right,0.608811447979,AA,f,27,59.9875919575,Set,2017_12_21_1949,
"[2.9, 2.9]",6,0,3,3,23,,,,,11,0,11,0,left,0.508786105784,AA,f,27,59.9875919575,Set,2017_12_21_1949,
