size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.6, 2.6]",1,0,0,0,0,,,,,0,0,0,0,down,3.75877248729,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,1,0,1,0,down,1.39213789976,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,2,0,2,0,right,1.09194068809,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,3,0,3,0,right,0.77545653563,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,4,0,4,0,right,0.608858027379,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,5,0,5,0,right,0.758803276927,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,6,0,6,0,right,0.608799605863,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,7,0,7,0,left,0.975484325318,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,8,0,8,0,right,0.65879925061,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,9,0,9,0,right,0.925471259397,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,10,0,10,0,right,0.608807895449,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,11,0,11,0,right,0.625452075037,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,12,0,12,0,left,1.34212759708,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,13,0,13,0,right,0.45878290839,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,14,0,14,0,right,0.34209483373,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,15,0,15,0,right,0.525492259534,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,16,0,16,0,down,0.575482430635,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,17,0,17,0,down,0.708812711295,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,18,0,18,0,left,0.991959951236,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,19,0,19,0,left,0.475471693557,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,20,0,20,0,left,0.508796368958,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,21,0,21,0,left,0.44216359721,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
"[2.6, 2.6]",1,0,0,0,0,,,,,22,0,22,0,right,0.600222317153,ADV,f,24,60.0120340624,Set,2017_12_21_1925,
