size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.7, 2.7]",5,0,0,0,10,,,,,0,0,0,0,down,1.85877296096,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",5,0,0,0,10,,,,,1,0,1,0,down,1.30023786984,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[3.0, 3.0]",1,0,1,1,24,,,,,0,0,0,0,down,1.02546739101,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[3.0, 3.0]",1,0,1,1,24,,,,,1,0,1,0,down,1.27541232493,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",1,0,2,2,6,,,,,0,0,0,0,right,2.37544753565,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",1,0,2,2,6,,,,,1,0,1,0,down,1.14211678121,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",1,0,2,2,6,,,,,2,0,2,0,down,0.758781566285,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.9, 2.9]",6,0,3,3,23,,,,,0,0,0,0,down,0.983567005722,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.9, 2.9]",6,0,3,3,23,,,,,1,0,1,0,down,0.658782671671,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.8, 2.8]",5,0,4,4,16,,,,,0,0,0,0,down,0.808797000558,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.8, 2.8]",5,0,4,4,16,,,,,1,0,1,0,down,0.775466009392,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.9, 2.9]",3,0,5,5,20,,,,,0,0,0,0,down,1.2086362628,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.9, 2.9]",3,0,5,5,20,,,,,1,0,1,0,down,2.07542440388,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.6, 2.6]",1,0,6,6,0,,,,,0,0,0,0,right,1.10022192239,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.6, 2.6]",1,0,6,6,0,,,,,1,0,1,0,right,0.825455390965,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.6, 2.6]",1,0,6,6,0,,,,,2,0,2,0,down,1.02545831201,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.6, 2.6]",1,0,6,6,0,,,,,3,0,3,0,down,0.54211749183,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[3.0, 3.0]",6,0,7,7,29,,,,,0,0,0,0,left,2.15878267155,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[3.0, 3.0]",6,0,7,7,29,,,,,1,0,1,0,down,0.675441061961,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[3.0, 3.0]",6,0,7,7,29,,,,,2,0,2,0,left,0.775448640808,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[3.0, 3.0]",6,0,7,7,29,,,,,3,0,3,0,down,0.742127123405,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[3.0, 3.0]",6,0,7,7,29,,,,,4,0,4,0,down,0.592065030942,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,0,0,0,0,left,0.942132018157,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,1,0,1,0,down,0.875445956597,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,2,0,2,0,left,0.925459417282,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,3,0,3,0,left,0.792121636448,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,4,0,4,0,down,0.89195158286,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,5,0,5,0,left,0.60861407849,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,6,0,6,0,down,0.67546000937,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,7,0,7,0,left,0.842121676076,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,8,0,8,0,down,0.825430917088,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,9,0,9,0,left,0.95879751374,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,10,0,10,0,down,1.07544216712,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,11,0,11,0,left,0.975470904144,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,12,0,12,0,down,0.658792540082,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,13,0,13,0,down,0.442101623281,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,14,0,14,0,left,0.658784250496,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,15,0,15,0,down,0.458797908504,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,16,0,16,0,down,0.425449943519,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,17,0,17,0,left,0.758839987684,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,18,0,18,0,left,0.542091044132,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,19,0,19,0,left,0.425471259397,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,20,0,20,0,left,0.442103202222,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,21,0,21,0,down,0.508790842723,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,22,0,22,0,left,0.458805013797,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,23,0,23,0,down,1.10878342157,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,24,0,24,0,left,0.458840935025,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,25,0,25,0,down,0.475439719739,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,26,0,26,0,left,0.392118952237,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,27,0,27,0,left,0.408797474345,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,28,0,28,0,left,0.442091360106,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,29,0,29,0,down,0.808772132033,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,30,0,30,0,down,0.641942701186,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,31,0,31,0,left,0.408814448165,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,32,0,32,0,left,0.558816540171,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,33,0,33,0,left,0.558766803006,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,34,0,34,0,left,0.458792776801,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,35,0,35,0,left,0.742137781344,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,36,0,36,0,left,0.675476193777,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,37,0,37,0,left,0.808789105737,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,38,0,38,0,left,0.592111215345,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,39,0,39,0,down,0.775482193683,AES,f,23,60.0008052742,Set,2017_12_21_1807,
"[2.7, 2.7]",2,0,8,8,7,,,,,40,0,40,0,left,0.425454285694,AES,f,23,60.0008052742,Set,2017_12_21_1807,
