size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.9, 2.9]",6,0,0,0,23,,,,,0,0,0,0,down,11.0586756183,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.9, 2.9]",6,0,0,0,23,,,,,1,0,1,0,down,4.83354162413,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.9, 2.9]",3,0,1,1,20,,,,,0,0,0,0,down,1.1754718516,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.9, 2.9]",3,0,1,1,20,,,,,1,0,1,0,down,1.20876455307,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.7, 2.7]",2,0,2,2,7,,,,,0,0,0,0,right,6.81680547015,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.7, 2.7]",2,0,2,2,7,,,,,1,0,1,0,down,0.958795934916,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.7, 2.7]",2,0,2,2,7,,,,,2,0,2,0,down,0.675444219843,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.8, 2.8]",2,0,3,3,13,,,,,0,0,0,0,down,0.950224961853,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.8, 2.8]",2,0,3,3,13,,,,,1,0,1,0,down,0.725445048767,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.6, 2.6]",4,0,4,4,3,,,,,0,0,0,0,down,1.40875760559,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.6, 2.6]",4,0,4,4,3,,,,,1,0,1,0,down,1.12543825922,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.9, 2.9]",4,0,5,5,21,,,,,0,0,0,0,down,1.97541958815,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.9, 2.9]",4,0,5,5,21,,,,,1,0,1,0,down,3.97541169333,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.7, 2.7]",5,0,6,6,10,,,,,0,0,0,0,down,0.775510614971,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.7, 2.7]",5,0,6,6,10,,,,,1,0,1,0,down,0.775464430451,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[3.0, 3.0]",1,0,7,7,24,,,,,0,0,0,0,down,1.56689922069,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[3.0, 3.0]",1,0,7,7,24,,,,,1,0,1,0,down,0.692139715655,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[3.0, 3.0]",1,0,7,7,24,,,,,2,0,2,0,left,5.22538346949,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[3.0, 3.0]",1,0,7,7,24,,,,,3,0,3,0,down,0.708768105716,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[3.0, 3.0]",1,0,7,7,24,,,,,4,0,4,0,down,0.625457601505,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.8, 2.8]",1,0,8,8,12,,,,,0,0,0,0,down,0.800182211562,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.8, 2.8]",1,0,8,8,12,,,,,1,0,1,0,down,0.642102570622,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.8, 2.8]",5,0,9,9,16,,,,,0,0,0,0,down,2.88351561083,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.8, 2.8]",5,0,9,9,16,,,,,1,0,1,0,down,2.00876044773,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.7, 2.7]",3,0,10,10,8,,,,,0,0,0,0,down,2.96672111435,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.7, 2.7]",3,0,10,10,8,,,,,1,0,1,0,down,0.600202185335,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[3.0, 3.0]",3,0,11,11,26,,,,,0,0,0,0,down,0.633565545199,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[3.0, 3.0]",3,0,11,11,26,,,,,1,0,1,0,down,0.508818474482,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.6, 2.6]",6,0,12,12,5,,,,,0,0,0,0,down,0.950208382914,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.6, 2.6]",6,0,12,12,5,,,,,1,0,1,0,right,1.25880801387,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.6, 2.6]",6,0,12,12,5,,,,,2,0,2,0,down,0.792096767924,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.6, 2.6]",6,0,12,12,5,,,,,3,0,3,0,down,0.458803434856,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.6, 2.6]",2,0,13,13,1,,,,,0,0,0,0,down,1.1088011848,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.6, 2.6]",2,0,13,13,1,,,,,1,0,1,0,down,0.492124557612,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.9, 2.9]",5,0,14,14,22,,,,,0,0,0,0,down,0.558795618941,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.9, 2.9]",5,0,14,14,22,,,,,1,0,1,0,down,0.558785355766,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.7, 2.7]",1,0,15,15,6,,,,,0,0,0,0,left,1.20879494795,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.7, 2.7]",1,0,15,15,6,,,,,1,0,1,0,down,0.792109794333,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.7, 2.7]",1,0,15,15,6,,,,,2,0,2,0,down,0.591959635494,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[3.0, 3.0]",6,0,16,16,29,,,,,0,0,0,0,down,0.525534891407,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[3.0, 3.0]",6,0,16,16,29,,,,,1,0,1,0,down,0.892122110236,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.8, 2.8]",3,0,17,17,14,,,,,0,0,0,0,down,0.533566255821,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.8, 2.8]",3,0,17,17,14,,,,,1,0,1,0,down,0.375457404065,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[3.0, 3.0]",4,0,18,18,27,,,,,0,0,0,0,down,0.47547287785,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[3.0, 3.0]",4,0,18,18,27,,,,,1,0,1,0,down,0.492117452319,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[3.0, 3.0]",2,0,19,19,25,,,,,0,0,0,0,down,0.475435772329,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[3.0, 3.0]",2,0,19,19,25,,,,,1,0,1,0,down,0.29212953127,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.9, 2.9]",2,0,20,20,19,,,,,0,0,0,0,down,0.458806987503,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.9, 2.9]",2,0,20,20,19,,,,,1,0,1,0,down,0.608790921629,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.8, 2.8]",4,0,21,21,15,,,,,0,0,0,0,down,0.483576874365,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.8, 2.8]",4,0,21,21,15,,,,,1,0,1,0,down,0.3254549962,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.6, 2.6]",5,0,22,22,4,,,,,0,0,0,0,down,0.542106439127,AG,f,24,60.0033633573,Set,2017_12_20_2125,
"[2.6, 2.6]",5,0,22,22,4,,,,,1,0,1,0,down,0.308778447798,AG,f,24,60.0033633573,Set,2017_12_20_2125,
