size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.9, 2.9]",3,0,0,0,20,,,,,0,0,0,0,down,1.67545724614,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.9, 2.9]",3,0,0,0,20,,,,,1,0,1,0,down,2.87544832518,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.8, 2.8]",4,0,1,1,15,,,,,0,0,0,0,left,1.25035348895,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.8, 2.8]",4,0,1,1,15,,,,,1,0,1,0,left,1.70875902672,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.8, 2.8]",4,0,1,1,15,,,,,2,0,2,0,down,1.05877351365,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.8, 2.8]",4,0,1,1,15,,,,,3,0,3,0,down,1.742099097,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",2,0,2,2,1,,,,,0,0,0,0,right,0.916895549628,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",2,0,2,2,1,,,,,1,0,1,0,down,1.02545396984,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",2,0,2,2,1,,,,,2,0,2,0,down,0.825471575256,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",2,0,2,2,1,,,,,3,0,3,0,left,1.54211157071,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",2,0,2,2,1,,,,,4,0,4,0,left,0.575475325226,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",2,0,2,2,1,,,,,5,0,5,0,left,0.558806276997,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",2,0,2,2,1,,,,,6,0,6,0,left,0.77547350945,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",2,0,2,2,1,,,,,7,0,7,0,left,0.592108846991,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",2,0,2,2,1,,,,,8,0,8,0,down,0.875419114367,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",2,0,2,2,1,,,,,9,0,9,0,down,0.54214670253,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",2,0,2,2,1,,,,,10,0,10,0,left,0.758762224112,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",2,0,2,2,1,,,,,11,0,11,0,down,0.608784605749,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",2,0,2,2,1,,,,,12,0,12,0,down,0.442132018274,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",5,0,3,3,28,,,,,0,0,0,0,left,0.592125820811,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",5,0,3,3,28,,,,,1,0,1,0,left,0.925447575049,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",5,0,3,3,28,,,,,2,0,2,0,left,1.04214038665,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",5,0,3,3,28,,,,,3,0,3,0,left,0.492124557612,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",5,0,3,3,28,,,,,4,0,4,0,down,0.742123570759,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",5,0,3,3,28,,,,,5,0,5,0,left,0.908811684931,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",5,0,3,3,28,,,,,6,0,6,0,left,0.558784566354,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",5,0,3,3,28,,,,,7,0,7,0,left,0.39218724228,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",5,0,3,3,28,,,,,8,0,8,0,left,0.492126136553,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",5,0,3,3,28,,,,,9,0,9,0,left,0.492124557495,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",5,0,3,3,28,,,,,10,0,10,0,left,0.742146465578,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",5,0,3,3,28,,,,,11,0,11,0,left,0.742129097111,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",5,0,3,3,28,,,,,12,0,12,0,left,0.418241610401,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",5,0,3,3,28,,,,,13,0,13,0,left,0.442143465625,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",5,0,3,3,28,,,,,14,0,14,0,left,1.45877343474,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",5,0,3,3,28,,,,,15,0,15,0,down,0.60872263182,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",5,0,3,3,28,,,,,16,0,16,0,down,0.458764750394,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",2,0,4,4,25,,,,,0,0,0,0,down,0.592103320523,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",2,0,4,4,25,,,,,1,0,1,0,down,1.392110268,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.9, 2.9]",2,0,5,5,19,,,,,0,0,0,0,down,0.52555423358,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.9, 2.9]",2,0,5,5,19,,,,,1,0,1,0,down,0.541962753981,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.8, 2.8]",1,0,6,6,12,,,,,0,0,0,0,down,0.658815434901,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.8, 2.8]",1,0,6,6,12,,,,,1,0,1,0,down,0.92548665416,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.7, 2.7]",3,0,7,7,8,,,,,0,0,0,0,down,0.450275488547,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.7, 2.7]",3,0,7,7,8,,,,,1,0,1,0,down,0.525489101652,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.7, 2.7]",3,0,7,7,8,,,,,2,0,2,0,left,0.542065780959,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.7, 2.7]",3,0,7,7,8,,,,,3,0,3,0,down,0.442119386513,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.7, 2.7]",3,0,7,7,8,,,,,4,0,4,0,down,0.425449943519,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",1,0,8,8,24,,,,,0,0,0,0,left,0.608793684863,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",1,0,8,8,24,,,,,1,0,1,0,down,0.542135254946,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",1,0,8,8,24,,,,,2,0,2,0,down,1.19193050382,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",3,0,9,9,2,,,,,0,0,0,0,down,0.600237711915,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",3,0,9,9,2,,,,,1,0,1,0,down,0.442138728802,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",4,0,10,10,3,,,,,0,0,0,0,down,0.491955609177,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",4,0,10,10,3,,,,,1,0,1,0,down,0.442081096815,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.9, 2.9]",6,0,11,11,23,,,,,0,0,0,0,down,0.542132886592,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.9, 2.9]",6,0,11,11,23,,,,,1,0,1,0,down,0.492122189142,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.7, 2.7]",5,0,12,12,10,,,,,0,0,0,0,down,0.442152939388,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.7, 2.7]",5,0,12,12,10,,,,,1,0,1,0,down,0.558782987297,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.9, 2.9]",5,0,13,13,22,,,,,0,0,0,0,left,1.39212092606,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.9, 2.9]",5,0,13,13,22,,,,,1,0,1,0,down,2.75877801364,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.9, 2.9]",5,0,13,13,22,,,,,2,0,2,0,down,1.35879309278,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.9, 2.9]",4,0,14,14,21,,,,,0,0,0,0,down,0.792117689154,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.9, 2.9]",4,0,14,14,21,,,,,1,0,1,0,down,0.708794158534,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.8, 2.8]",5,0,15,15,16,,,,,0,0,0,0,left,0.725459654117,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.8, 2.8]",5,0,15,15,16,,,,,1,0,1,0,down,0.575478483224,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.8, 2.8]",5,0,15,15,16,,,,,2,0,2,0,down,0.442128860159,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.8, 2.8]",6,0,16,16,17,,,,,0,0,0,0,down,0.51690391812,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.8, 2.8]",6,0,16,16,17,,,,,1,0,1,0,down,0.500240001362,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",1,0,17,17,0,,,,,0,0,0,0,down,0.69213300501,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",1,0,17,17,0,,,,,1,0,1,0,down,0.358798224363,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",4,0,18,18,27,,,,,0,0,0,0,down,0.608783816337,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",4,0,18,18,27,,,,,1,0,1,0,down,0.892182110576,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.8, 2.8]",2,0,19,19,13,,,,,0,0,0,0,left,1.02528660046,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.8, 2.8]",2,0,19,19,13,,,,,1,0,1,0,down,0.775399693171,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.8, 2.8]",2,0,19,19,13,,,,,2,0,2,0,down,0.4421245181,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.7, 2.7]",6,0,20,20,11,,,,,0,0,0,0,down,0.492082715267,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.7, 2.7]",6,0,20,20,11,,,,,1,0,1,0,down,1.89194724069,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",3,0,21,21,26,,,,,0,0,0,0,down,0.442145044566,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",3,0,21,21,26,,,,,1,0,1,0,down,0.442156886798,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.7, 2.7]",4,0,22,22,9,,,,,0,0,0,0,down,0.466929536662,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.7, 2.7]",4,0,22,22,9,,,,,1,0,1,0,down,0.258793408517,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",6,0,23,23,29,,,,,0,0,0,0,down,0.850187382661,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[3.0, 3.0]",6,0,23,23,29,,,,,1,0,1,0,down,0.658772013616,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",6,0,24,24,5,,,,,0,0,0,0,left,0.542114333832,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",6,0,24,24,5,,,,,1,0,1,0,down,0.392132768175,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.6, 2.6]",6,0,24,24,5,,,,,2,0,2,0,down,0.34214259719,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.8, 2.8]",3,0,25,25,14,,,,,0,0,0,0,down,0.575447693584,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.8, 2.8]",3,0,25,25,14,,,,,1,0,1,0,down,0.342166676302,AN,m,30,60.0022264139,Set,2017_12_21_1843,
"[2.7, 2.7]",1,0,26,26,6,,,,,0,0,0,0,down,0.583606558619,AN,m,30,60.0022264139,Set,2017_12_21_1843,
