size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.8, 2.8]",5,0,0,0,16,,,,,0,0,0,0,down,6.10883473768,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.8, 2.8]",5,0,0,0,16,,,,,1,0,1,0,down,6.44207675467,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.6, 2.6]",6,0,1,1,5,,,,,0,0,0,0,down,1.54209775479,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.6, 2.6]",6,0,1,1,5,,,,,1,0,1,0,down,1.75865998662,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.6, 2.6]",6,0,1,1,5,,,,,2,0,2,0,right,0.658804776976,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.6, 2.6]",6,0,1,1,5,,,,,3,0,3,0,down,1.80885936941,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.6, 2.6]",6,0,1,1,5,,,,,4,0,4,0,right,0.775443509265,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.6, 2.6]",6,0,1,1,5,,,,,5,0,5,0,right,1.04216328151,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.6, 2.6]",6,0,1,1,5,,,,,6,0,6,0,down,1.44214188664,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.6, 2.6]",6,0,1,1,5,,,,,7,0,7,0,down,2.54210407064,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.9, 2.9]",5,0,2,2,22,,,,,0,0,0,0,down,0.975466167292,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.9, 2.9]",5,0,2,2,22,,,,,1,0,1,0,down,0.575461509376,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.9, 2.9]",5,0,2,2,22,,,,,2,0,2,0,right,1.058860751,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.9, 2.9]",5,0,2,2,22,,,,,3,0,3,0,down,0.792146899839,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.9, 2.9]",5,0,2,2,22,,,,,4,0,4,0,down,0.675437114493,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.9, 2.9]",5,0,2,2,22,,,,,5,0,5,0,right,0.775477456831,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.9, 2.9]",5,0,2,2,22,,,,,6,0,6,0,right,0.98358595329,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.9, 2.9]",5,0,2,2,22,,,,,7,0,7,0,down,0.683415583844,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.9, 2.9]",5,0,2,2,22,,,,,8,0,8,0,down,0.808767789902,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.9, 2.9]",5,0,2,2,22,,,,,9,0,9,0,right,0.642127439191,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.9, 2.9]",5,0,2,2,22,,,,,10,0,10,0,right,0.592136478721,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.9, 2.9]",5,0,2,2,22,,,,,11,0,11,0,down,0.592150689336,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.9, 2.9]",5,0,2,2,22,,,,,12,0,12,0,down,0.492134426066,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.8, 2.8]",4,0,3,3,15,,,,,0,0,0,0,right,2.35023238297,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.8, 2.8]",4,0,3,3,15,,,,,1,0,1,0,right,4.10878500054,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.8, 2.8]",4,0,3,3,15,,,,,2,0,2,0,down,0.6003044229,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.8, 2.8]",4,0,3,3,15,,,,,3,0,3,0,right,0.708820211279,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.8, 2.8]",4,0,3,3,15,,,,,4,0,4,0,down,0.583588005917,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.8, 2.8]",4,0,3,3,15,,,,,5,0,5,0,down,0.875488588485,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.8, 2.8]",4,0,3,3,15,,,,,6,0,6,0,right,0.908797869037,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.8, 2.8]",4,0,3,3,15,,,,,7,0,7,0,down,0.808815553362,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.8, 2.8]",4,0,3,3,15,,,,,8,0,8,0,down,0.633576992695,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.8, 2.8]",4,0,3,3,15,,,,,9,0,9,0,right,0.725463996234,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.8, 2.8]",4,0,3,3,15,,,,,10,0,10,0,down,1.2754841674,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.8, 2.8]",4,0,3,3,15,,,,,11,0,11,0,right,0.56691027341,AS,f,24,59.9949793388,Set,2017_12_14_2146,
"[2.8, 2.8]",4,0,3,3,15,,,,,12,0,12,0,down,0.625473785767,AS,f,24,59.9949793388,Set,2017_12_14_2146,
