size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[3.0, 3.0]",1,0,0,0,24,,,,,0,0,0,0,down,14.5586543024,AVD,f,18,59.9898648071,Set,2017_12_14_1858,
"[3.0, 3.0]",1,0,0,0,24,,,,,1,0,1,0,right,4.42543652238,AVD,f,18,59.9898648071,Set,2017_12_14_1858,
"[3.0, 3.0]",1,0,0,0,24,,,,,2,0,2,0,right,2.32545775935,AVD,f,18,59.9898648071,Set,2017_12_14_1858,
"[3.0, 3.0]",1,0,0,0,24,,,,,3,0,3,0,right,1.77544903561,AVD,f,18,59.9898648071,Set,2017_12_14_1858,
"[3.0, 3.0]",1,0,0,0,24,,,,,4,0,4,0,right,1.69211405754,AVD,f,18,59.9898648071,Set,2017_12_14_1858,
"[3.0, 3.0]",1,0,0,0,24,,,,,5,0,5,0,right,1.56689882596,AVD,f,18,59.9898648071,Set,2017_12_14_1858,
"[3.0, 3.0]",1,0,0,0,24,,,,,6,0,6,0,down,1.65876964519,AVD,f,18,59.9898648071,Set,2017_12_14_1858,
"[3.0, 3.0]",1,0,0,0,24,,,,,7,0,7,0,down,1.57553690457,AVD,f,18,59.9898648071,Set,2017_12_14_1858,
"[2.9, 2.9]",2,0,1,1,19,,,,,0,0,0,0,right,3.19213221554,AVD,f,18,59.9898648071,Set,2017_12_14_1858,
"[2.9, 2.9]",2,0,1,1,19,,,,,1,0,1,0,right,1.59208713632,AVD,f,18,59.9898648071,Set,2017_12_14_1858,
"[2.9, 2.9]",2,0,1,1,19,,,,,2,0,2,0,right,1.97528300829,AVD,f,18,59.9898648071,Set,2017_12_14_1858,
