size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.9, 2.9]",4,0,0,0,21,,,,,0,0,0,0,down,2.366892747,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,1,0,1,0,right,2.87541240372,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,2,0,2,0,down,0.825444338261,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,3,0,3,0,right,0.925473233103,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,4,0,4,0,right,1.6587550398,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,5,0,5,0,right,1.37546135148,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,6,0,6,0,down,0.558792066411,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,7,0,7,0,right,0.766884773271,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,8,0,8,0,down,0.825439206557,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,9,0,9,0,right,0.842112596962,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,10,0,10,0,down,0.858770987368,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,11,0,11,0,down,0.525458312011,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,12,0,12,0,right,0.892131583998,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,13,0,13,0,right,1.39212447859,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,14,0,14,0,down,0.792141768266,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,15,0,15,0,down,0.525476470008,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,16,0,16,0,right,1.3421173339,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,17,0,17,0,down,0.483570953249,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,18,0,18,0,down,1.34211851808,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,19,0,19,0,right,0.40877852682,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,20,0,20,0,right,0.392135926057,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,21,0,21,0,down,0.650249593658,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",4,0,0,0,21,,,,,22,0,22,0,down,0.492117452319,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.8, 2.8]",2,0,1,1,13,,,,,0,0,0,0,down,1.64210257062,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.8, 2.8]",2,0,1,1,13,,,,,1,0,1,0,down,0.442133991863,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.6, 2.6]",6,0,2,2,5,,,,,0,0,0,0,right,0.892192768515,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.6, 2.6]",6,0,2,2,5,,,,,1,0,1,0,down,0.692126689246,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.6, 2.6]",6,0,2,2,5,,,,,2,0,2,0,down,0.67543079867,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.8, 2.8]",4,0,3,3,15,,,,,0,0,0,0,down,0.858748487197,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.8, 2.8]",4,0,3,3,15,,,,,1,0,1,0,down,0.575435061823,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.8, 2.8]",4,0,3,3,15,,,,,2,0,2,0,right,2.15875464515,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.8, 2.8]",4,0,3,3,15,,,,,3,0,3,0,down,0.525449233013,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.8, 2.8]",4,0,3,3,15,,,,,4,0,4,0,down,0.458766329451,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.6, 2.6]",1,0,4,4,0,,,,,0,0,0,0,down,0.858792303246,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.6, 2.6]",1,0,4,4,0,,,,,1,0,1,0,down,0.692094320548,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.6, 2.6]",3,0,5,5,2,,,,,0,0,0,0,right,0.708800079534,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.6, 2.6]",3,0,5,5,2,,,,,1,0,1,0,right,0.908774579526,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.6, 2.6]",3,0,5,5,2,,,,,2,0,2,0,down,0.708857711521,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.6, 2.6]",3,0,5,5,2,,,,,3,0,3,0,down,0.47547050938,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.7, 2.7]",4,0,6,6,9,,,,,0,0,0,0,down,1.56685027294,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.7, 2.7]",4,0,6,6,9,,,,,1,0,1,0,down,0.692117215367,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.7, 2.7]",4,0,6,6,9,,,,,2,0,2,0,right,0.65884938254,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.7, 2.7]",4,0,6,6,9,,,,,3,0,3,0,down,0.592328322004,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.7, 2.7]",4,0,6,6,9,,,,,4,0,4,0,down,0.675362903508,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.7, 2.7]",6,0,7,7,11,,,,,0,0,0,0,down,0.658764118794,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.7, 2.7]",6,0,7,7,11,,,,,1,0,1,0,down,0.492113110144,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",1,0,8,8,18,,,,,0,0,0,0,down,0.966905062902,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",1,0,8,8,18,,,,,1,0,1,0,down,0.742127912818,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",6,0,9,9,23,,,,,0,0,0,0,down,0.60021876439,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",6,0,9,9,23,,,,,1,0,1,0,down,0.57546111464,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",5,0,10,10,22,,,,,0,0,0,0,down,0.525457522599,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",5,0,10,10,22,,,,,1,0,1,0,down,0.408796684816,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.8, 2.8]",3,0,11,11,14,,,,,0,0,0,0,down,1.04211630754,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.8, 2.8]",3,0,11,11,14,,,,,1,0,1,0,down,0.616940707783,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.8, 2.8]",1,0,12,12,12,,,,,0,0,0,0,down,0.575459535699,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.8, 2.8]",1,0,12,12,12,,,,,1,0,1,0,down,0.475433009211,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.7, 2.7]",2,0,13,13,7,,,,,0,0,0,0,down,0.583563137334,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.7, 2.7]",2,0,13,13,7,,,,,1,0,1,0,left,0.592102136347,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.7, 2.7]",2,0,13,13,7,,,,,2,0,2,0,down,0.725466364645,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.7, 2.7]",2,0,13,13,7,,,,,3,0,3,0,down,0.742103439057,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.7, 2.7]",2,0,13,13,7,,,,,4,0,4,0,right,1.10876171093,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.7, 2.7]",2,0,13,13,7,,,,,5,0,5,0,down,0.508814527071,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.7, 2.7]",2,0,13,13,7,,,,,6,0,6,0,down,0.425455864635,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",4,0,14,14,27,,,,,0,0,0,0,left,0.558758118772,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",4,0,14,14,27,,,,,1,0,1,0,left,0.725450969883,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",4,0,14,14,27,,,,,2,0,2,0,down,0.25024533039,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",4,0,14,14,27,,,,,3,0,3,0,left,1.4254329697,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",4,0,14,14,27,,,,,4,0,4,0,left,0.542113939184,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",4,0,14,14,27,,,,,5,0,5,0,down,0.542120649596,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",4,0,14,14,27,,,,,6,0,6,0,down,0.358787171543,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",3,0,15,15,20,,,,,0,0,0,0,left,1.1587953032,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",3,0,15,15,20,,,,,1,0,1,0,down,0.825464864611,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",3,0,15,15,20,,,,,2,0,2,0,down,1.3754400356,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.7, 2.7]",1,0,16,16,6,,,,,0,0,0,0,down,1.20876968466,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.7, 2.7]",1,0,16,16,6,,,,,1,0,1,0,down,0.358789540012,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",6,0,17,17,29,,,,,0,0,0,0,left,0.775426535518,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",6,0,17,17,29,,,,,1,0,1,0,down,0.458787250565,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",6,0,17,17,29,,,,,2,0,2,0,left,0.592112004873,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",6,0,17,17,29,,,,,3,0,3,0,down,0.575473746285,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",6,0,17,17,29,,,,,4,0,4,0,down,0.808770553092,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.8, 2.8]",6,0,18,18,17,,,,,0,0,0,0,left,1.05023530405,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.8, 2.8]",6,0,18,18,17,,,,,1,0,1,0,down,0.508771500434,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.8, 2.8]",6,0,18,18,17,,,,,2,0,2,0,down,0.292103478452,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.7, 2.7]",5,0,19,19,10,,,,,0,0,0,0,left,0.475404193276,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.7, 2.7]",5,0,19,19,10,,,,,1,0,1,0,down,0.492155347252,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.7, 2.7]",5,0,19,19,10,,,,,2,0,2,0,down,0.442120570806,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",1,0,20,20,24,,,,,0,0,0,0,down,0.692109715426,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",1,0,20,20,24,,,,,1,0,1,0,down,0.208788632182,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.6, 2.6]",2,0,21,21,1,,,,,0,0,0,0,left,0.841947990702,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.6, 2.6]",2,0,21,21,1,,,,,1,0,1,0,down,0.325470785727,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.6, 2.6]",2,0,21,21,1,,,,,2,0,2,0,down,0.22543754871,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",2,0,22,22,19,,,,,0,0,0,0,down,0.775434035575,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.9, 2.9]",2,0,22,22,19,,,,,1,0,1,0,down,0.342138649779,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",2,0,23,23,25,,,,,0,0,0,0,down,0.858934409334,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",2,0,23,23,25,,,,,1,0,1,0,left,0.541991569917,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",2,0,23,23,25,,,,,2,0,2,0,left,0.392113031237,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",2,0,23,23,25,,,,,3,0,3,0,left,0.442099254811,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",2,0,23,23,25,,,,,4,0,4,0,down,0.392150926171,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",2,0,23,23,25,,,,,5,0,5,0,left,0.608617631136,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",2,0,23,23,25,,,,,6,0,6,0,down,0.592128583929,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",2,0,23,23,25,,,,,7,0,7,0,down,0.392130399705,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.6, 2.6]",5,0,24,24,4,,,,,0,0,0,0,down,0.458813698147,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.6, 2.6]",5,0,24,24,4,,,,,1,0,1,0,down,0.242113307584,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.6, 2.6]",4,0,25,25,3,,,,,0,0,0,0,down,0.483567795367,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.6, 2.6]",4,0,25,25,3,,,,,1,0,1,0,down,0.442113860161,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.8, 2.8]",5,0,26,26,16,,,,,0,0,0,0,down,0.483570558485,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.8, 2.8]",5,0,26,26,16,,,,,1,0,1,0,down,0.292127162917,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",3,0,27,27,26,,,,,0,0,0,0,down,0.400248212041,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",3,0,27,27,26,,,,,1,0,1,0,down,0.325459733023,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",5,0,28,28,28,,,,,0,0,0,0,down,0.383556268876,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[3.0, 3.0]",5,0,28,28,28,,,,,1,0,1,0,down,0.108800000628,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.7, 2.7]",3,0,29,29,8,,,,,0,0,0,0,down,0.525470943656,DC,f,27,60.0002368456,Set,2017_12_20_2024,
"[2.7, 2.7]",3,0,29,29,8,,,,,1,0,1,0,down,0.292137031443,DC,f,27,60.0002368456,Set,2017_12_20_2024,
