size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.8, 2.8]",6,0,0,0,17,,,,,0,0,0,0,left,5.70019713277,Dim,m,21,60.003647613,Set,2017_12_14_1804,
"[2.8, 2.8]",6,0,0,0,17,,,,,1,0,1,0,down,5.40874300029,Dim,m,21,60.003647613,Set,2017_12_14_1804,
"[2.8, 2.8]",6,0,0,0,17,,,,,2,0,2,0,down,1.5254231802,Dim,m,21,60.003647613,Set,2017_12_14_1804,
"[2.8, 2.8]",6,0,0,0,17,,,,,3,0,3,0,left,1.74210462327,Dim,m,21,60.003647613,Set,2017_12_14_1804,
"[2.8, 2.8]",6,0,0,0,17,,,,,4,0,4,0,left,1.64213730767,Dim,m,21,60.003647613,Set,2017_12_14_1804,
"[2.8, 2.8]",6,0,0,0,17,,,,,5,0,5,0,down,1.05881614547,Dim,m,21,60.003647613,Set,2017_12_14_1804,
"[2.8, 2.8]",6,0,0,0,17,,,,,6,0,6,0,right,1.52542436441,Dim,m,21,60.003647613,Set,2017_12_14_1804,
"[2.8, 2.8]",6,0,0,0,17,,,,,7,0,7,0,down,1.27530614001,Dim,m,21,60.003647613,Set,2017_12_14_1804,
"[2.8, 2.8]",6,0,0,0,17,,,,,8,0,8,0,down,0.975426693374,Dim,m,21,60.003647613,Set,2017_12_14_1804,
"[2.7, 2.7]",2,0,1,1,7,,,,,0,0,0,0,down,1.01690470758,Dim,m,21,60.003647613,Set,2017_12_14_1804,
"[2.7, 2.7]",2,0,1,1,7,,,,,1,0,1,0,down,1.15862161797,Dim,m,21,60.003647613,Set,2017_12_14_1804,
"[2.9, 2.9]",3,0,2,2,20,,,,,0,0,0,0,left,0.916913707639,Dim,m,21,60.003647613,Set,2017_12_14_1804,
