size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.6, 2.6]",3,0,0,0,2,,,,,0,0,0,0,down,4.17544500928,ES,f,23,59.9965422905,Set,2017_12_15_1826,
"[2.6, 2.6]",3,0,0,0,2,,,,,1,0,1,0,left,2.57544453559,ES,f,23,59.9965422905,Set,2017_12_15_1826,
"[2.6, 2.6]",3,0,0,0,2,,,,,2,0,2,0,down,1.24223330826,ES,f,23,59.9965422905,Set,2017_12_15_1826,
"[2.6, 2.6]",3,0,0,0,2,,,,,3,0,3,0,right,2.60876723728,ES,f,23,59.9965422905,Set,2017_12_15_1826,
"[2.6, 2.6]",3,0,0,0,2,,,,,4,0,4,0,down,2.79229571653,ES,f,23,59.9965422905,Set,2017_12_15_1826,
"[2.6, 2.6]",3,0,0,0,2,,,,,5,0,5,0,down,0.750089803158,ES,f,23,59.9965422905,Set,2017_12_15_1826,
"[2.6, 2.6]",3,0,0,0,2,,,,,6,0,6,0,left,1.80877094783,ES,f,23,59.9965422905,Set,2017_12_15_1826,
"[2.6, 2.6]",3,0,0,0,2,,,,,7,0,7,0,right,1.09209818899,ES,f,23,59.9965422905,Set,2017_12_15_1826,
"[2.6, 2.6]",3,0,0,0,2,,,,,8,0,8,0,down,0.742109360144,ES,f,23,59.9965422905,Set,2017_12_15_1826,
"[2.6, 2.6]",3,0,0,0,2,,,,,9,0,9,0,down,0.625457601447,ES,f,23,59.9965422905,Set,2017_12_15_1826,
"[2.8, 2.8]",4,0,1,1,15,,,,,0,0,0,0,right,0.942129649717,ES,f,23,59.9965422905,Set,2017_12_15_1826,
"[2.8, 2.8]",4,0,1,1,15,,,,,1,0,1,0,right,1.22546123306,ES,f,23,59.9965422905,Set,2017_12_15_1826,
"[2.8, 2.8]",4,0,1,1,15,,,,,2,0,2,0,down,0.708784290036,ES,f,23,59.9965422905,Set,2017_12_15_1826,
"[2.8, 2.8]",4,0,1,1,15,,,,,3,0,3,0,down,0.875461746211,ES,f,23,59.9965422905,Set,2017_12_15_1826,
"[2.8, 2.8]",4,0,1,1,15,,,,,4,0,4,0,right,0.525446864543,ES,f,23,59.9965422905,Set,2017_12_15_1826,
"[2.8, 2.8]",4,0,1,1,15,,,,,5,0,5,0,left,0.658810698078,ES,f,23,59.9965422905,Set,2017_12_15_1826,
"[2.8, 2.8]",4,0,1,1,15,,,,,6,0,6,0,left,0.442126491835,ES,f,23,59.9965422905,Set,2017_12_15_1826,
