size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[3.0, 3.0]",1,0,0,0,24,,,,,0,0,0,0,down,15.2586659077,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[3.0, 3.0]",1,0,0,0,24,,,,,1,0,1,0,right,12.1920410308,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[3.0, 3.0]",1,0,0,0,24,,,,,2,0,2,0,down,2.12544773296,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[3.0, 3.0]",1,0,0,0,24,,,,,3,0,3,0,down,4.94215728148,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.7, 2.7]",2,0,1,1,7,,,,,0,0,0,0,down,0.82546723308,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.7, 2.7]",2,0,1,1,7,,,,,1,0,1,0,down,3.43354722936,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.6, 2.6]",4,0,2,2,3,,,,,0,0,0,0,right,1.75878472421,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.6, 2.6]",4,0,2,2,3,,,,,1,0,1,0,down,1.45027312006,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.6, 2.6]",4,0,2,2,3,,,,,2,0,2,0,down,5.12541575909,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.6, 2.6]",4,0,2,2,3,,,,,3,0,3,0,right,2.02546699625,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.6, 2.6]",4,0,2,2,3,,,,,4,0,4,0,down,1.40895142261,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.6, 2.6]",4,0,2,2,3,,,,,5,0,5,0,down,0.625499049071,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",6,0,3,3,23,,,,,0,0,0,0,right,6.12539246949,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",6,0,3,3,23,,,,,1,0,1,0,right,1.01689404962,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",6,0,3,3,23,,,,,2,0,2,0,left,1.42551231231,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",6,0,3,3,23,,,,,3,0,3,0,left,2.07546229885,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",6,0,3,3,23,,,,,4,0,4,0,down,0.858813224404,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",6,0,3,3,23,,,,,5,0,5,0,right,5.37541398278,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",6,0,3,3,23,,,,,6,0,6,0,down,0.958820408647,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",6,0,3,3,23,,,,,7,0,7,0,down,0.675471062059,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",6,0,3,3,23,,,,,8,0,8,0,left,1.12548010159,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",6,0,3,3,23,,,,,9,0,9,0,down,1.23358970332,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",6,0,3,3,23,,,,,10,0,10,0,right,0.542114333846,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",6,0,3,3,23,,,,,11,0,11,0,right,0.892112241738,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",6,0,3,3,23,,,,,12,0,12,0,left,0.908850369364,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",6,0,3,3,23,,,,,13,0,13,0,right,1.15879530324,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",6,0,3,3,23,,,,,14,0,14,0,left,0.63356120314,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",6,0,3,3,23,,,,,15,0,15,0,left,0.542149465633,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",6,0,3,3,23,,,,,16,0,16,0,right,0.75881432966,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",6,0,3,3,23,,,,,17,0,17,0,right,0.916904628641,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",6,0,3,3,23,,,,,18,0,18,0,down,0.925440864507,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",6,0,3,3,23,,,,,19,0,19,0,down,0.758792224282,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",3,0,4,4,20,,,,,0,0,0,0,left,3.25023940935,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",3,0,4,4,20,,,,,1,0,1,0,down,0.825450259304,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",3,0,4,4,20,,,,,2,0,2,0,right,0.916899497024,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",3,0,4,4,20,,,,,3,0,3,0,left,1.52543857503,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",3,0,4,4,20,,,,,4,0,4,0,right,1.12548839112,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",3,0,4,4,20,,,,,5,0,5,0,left,0.708835606114,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",3,0,4,4,20,,,,,6,0,6,0,left,0.533578097966,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",3,0,4,4,20,,,,,7,0,7,0,right,0.492120215466,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",3,0,4,4,20,,,,,8,0,8,0,down,0.725454917221,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",3,0,4,4,20,,,,,9,0,9,0,right,1.34212759709,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",3,0,4,4,20,,,,,10,0,10,0,left,0.77546087779,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",3,0,4,4,20,,,,,11,0,11,0,down,1.62546746993,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",3,0,4,4,20,,,,,12,0,12,0,left,2.2254939964,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",3,0,4,4,20,,,,,13,0,13,0,down,1.25880051379,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",3,0,4,4,20,,,,,14,0,14,0,down,0.592130952369,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",3,0,4,4,20,,,,,15,0,15,0,left,0.492128110243,EU,f,18,59.995689757,Set,2017_12_14_2021,
"[2.9, 2.9]",3,0,4,4,20,,,,,16,0,16,0,right,0.50025815946,EU,f,18,59.995689757,Set,2017_12_14_2021,
