size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[3.0, 3.0]",1,0,0,0,24,,,,,0,0,0,0,down,3.30021852767,MLAs,f,24,59.9937006274,Set,2017_12_21_1654,
"[3.0, 3.0]",1,0,0,0,24,,,,,1,0,1,0,down,1.81686310214,MLAs,f,24,59.9937006274,Set,2017_12_21_1654,
"[3.0, 3.0]",2,0,1,1,25,,,,,0,0,0,0,left,1.08357419004,MLAs,f,24,59.9937006274,Set,2017_12_21_1654,
"[3.0, 3.0]",2,0,1,1,25,,,,,1,0,1,0,down,1.08364879584,MLAs,f,24,59.9937006274,Set,2017_12_21_1654,
"[3.0, 3.0]",2,0,1,1,25,,,,,2,0,2,0,down,1.1335363345,MLAs,f,24,59.9937006274,Set,2017_12_21_1654,
"[2.9, 2.9]",2,0,2,2,19,,,,,0,0,0,0,left,1.08360892721,MLAs,f,24,59.9937006274,Set,2017_12_21_1654,
"[2.9, 2.9]",2,0,2,2,19,,,,,1,0,1,0,down,1.10023850144,MLAs,f,24,59.9937006274,Set,2017_12_21_1654,
"[2.9, 2.9]",2,0,2,2,19,,,,,2,0,2,0,down,1.050191488,MLAs,f,24,59.9937006274,Set,2017_12_21_1654,
"[2.6, 2.6]",3,0,3,3,2,,,,,0,0,0,0,down,1.13356357161,MLAs,f,24,59.9937006274,Set,2017_12_21_1654,
"[2.6, 2.6]",3,0,3,3,2,,,,,1,0,1,0,down,1.55023806717,MLAs,f,24,59.9937006274,Set,2017_12_21_1654,
"[3.0, 3.0]",3,0,4,4,26,,,,,0,0,0,0,left,2.31689783907,MLAs,f,24,59.9937006274,Set,2017_12_21_1654,
"[3.0, 3.0]",3,0,4,4,26,,,,,1,0,1,0,down,1.08357734792,MLAs,f,24,59.9937006274,Set,2017_12_21_1654,
"[3.0, 3.0]",3,0,4,4,26,,,,,2,0,2,0,down,2.78356329526,MLAs,f,24,59.9937006274,Set,2017_12_21_1654,
"[3.0, 3.0]",5,0,5,5,28,,,,,0,0,0,0,left,1.11688860215,MLAs,f,24,59.9937006274,Set,2017_12_21_1654,
"[3.0, 3.0]",5,0,5,5,28,,,,,1,0,1,0,left,1.30020984332,MLAs,f,24,59.9937006274,Set,2017_12_21_1654,
"[3.0, 3.0]",5,0,5,5,28,,,,,2,0,2,0,down,0.900232817279,MLAs,f,24,59.9937006274,Set,2017_12_21_1654,
