size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.7, 2.7]",3,0,0,0,8,,,,,0,0,0,0,right,3.24209475479,MS,m,25,59.9881601675,Set,2017_12_15_1901,
"[2.7, 2.7]",3,0,0,0,8,,,,,1,0,1,0,right,1.39210039953,MS,m,25,59.9881601675,Set,2017_12_15_1901,
"[2.7, 2.7]",3,0,0,0,8,,,,,2,0,2,0,right,1.45879396112,MS,m,25,59.9881601675,Set,2017_12_15_1901,
"[2.7, 2.7]",3,0,0,0,8,,,,,3,0,3,0,down,1.05878811897,MS,m,25,59.9881601675,Set,2017_12_15_1901,
"[2.7, 2.7]",3,0,0,0,8,,,,,4,0,4,0,down,0.608621578489,MS,m,25,59.9881601675,Set,2017_12_15_1901,
"[2.7, 2.7]",3,0,0,0,8,,,,,5,0,5,0,right,0.708789026889,MS,m,25,59.9881601675,Set,2017_12_15_1901,
"[2.7, 2.7]",3,0,0,0,8,,,,,6,0,6,0,right,0.892107110121,MS,m,25,59.9881601675,Set,2017_12_15_1901,
"[2.7, 2.7]",3,0,0,0,8,,,,,7,0,7,0,right,0.358804540127,MS,m,25,59.9881601675,Set,2017_12_15_1901,
"[2.7, 2.7]",3,0,0,0,8,,,,,8,0,8,0,down,1.30879581638,MS,m,25,59.9881601675,Set,2017_12_15_1901,
"[2.7, 2.7]",3,0,0,0,8,,,,,9,0,9,0,right,0.525449627719,MS,m,25,59.9881601675,Set,2017_12_15_1901,
"[2.7, 2.7]",3,0,0,0,8,,,,,10,0,10,0,right,0.492144689313,MS,m,25,59.9881601675,Set,2017_12_15_1901,
"[2.7, 2.7]",3,0,0,0,8,,,,,11,0,11,0,right,0.342116939137,MS,m,25,59.9881601675,Set,2017_12_15_1901,
"[2.7, 2.7]",3,0,0,0,8,,,,,12,0,12,0,right,0.375366614084,MS,m,25,59.9881601675,Set,2017_12_15_1901,
"[2.7, 2.7]",3,0,0,0,8,,,,,13,0,13,0,down,0.708786658448,MS,m,25,59.9881601675,Set,2017_12_15_1901,
"[2.7, 2.7]",3,0,0,0,8,,,,,14,0,14,0,down,0.108778289956,MS,m,25,59.9881601675,Set,2017_12_15_1901,
"[2.7, 2.7]",5,0,1,1,10,,,,,0,0,0,0,right,0.608798816422,MS,m,25,59.9881601675,Set,2017_12_15_1901,
