size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.7, 2.7]",1,0,0,0,6,,,,,0,0,0,0,right,5.80872357913,NV,f,28,60.0022264139,Set,2017_12_15_2038,
"[2.7, 2.7]",1,0,0,0,6,,,,,1,0,1,0,right,4.02527436352,NV,f,28,60.0022264139,Set,2017_12_15_2038,
"[2.7, 2.7]",1,0,0,0,6,,,,,2,0,2,0,down,4.35875756614,NV,f,28,60.0022264139,Set,2017_12_15_2038,
"[2.7, 2.7]",1,0,0,0,6,,,,,3,0,3,0,down,7.57543664079,NV,f,28,60.0022264139,Set,2017_12_15_2038,
"[2.8, 2.8]",6,0,1,1,17,,,,,0,0,0,0,down,0.0254729173321,NV,f,28,60.0022264139,Set,2017_12_15_2038,
"[2.8, 2.8]",6,0,1,1,17,,,,,1,0,1,0,down,0.642112439091,NV,f,28,60.0022264139,Set,2017_12_15_2038,
"[2.8, 2.8]",2,0,2,2,13,,,,,0,0,0,0,down,0.558797592734,NV,f,28,60.0022264139,Set,2017_12_15_2038,
"[2.8, 2.8]",2,0,2,2,13,,,,,1,0,1,0,down,0.808801737468,NV,f,28,60.0022264139,Set,2017_12_15_2038,
"[2.6, 2.6]",2,0,3,3,1,,,,,0,0,0,0,down,0.675394087913,NV,f,28,60.0022264139,Set,2017_12_15_2038,
"[2.6, 2.6]",2,0,3,3,1,,,,,1,0,1,0,right,0.392158820963,NV,f,28,60.0022264139,Set,2017_12_15_2038,
"[2.6, 2.6]",2,0,3,3,1,,,,,2,0,2,0,down,0.675447377696,NV,f,28,60.0022264139,Set,2017_12_15_2038,
"[2.6, 2.6]",2,0,3,3,1,,,,,3,0,3,0,down,0.525465812039,NV,f,28,60.0022264139,Set,2017_12_15_2038,
