size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.7, 2.7]",5,0,0,0,10,,,,,0,0,0,0,right,4.95859698624,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",5,0,0,0,10,,,,,1,0,1,0,right,1.95876909255,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",5,0,0,0,10,,,,,2,0,2,0,down,1.05884219825,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",5,0,0,0,10,,,,,3,0,3,0,right,1.65878306632,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",5,0,0,0,10,,,,,4,0,4,0,right,1.07547729895,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",5,0,0,0,10,,,,,5,0,5,0,right,0.542090254748,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",5,0,0,0,10,,,,,6,0,6,0,right,0.42560310234,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",5,0,0,0,10,,,,,7,0,7,0,down,0.742204887021,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",5,0,0,0,10,,,,,8,0,8,0,right,0.916905023376,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",5,0,0,0,10,,,,,9,0,9,0,down,0.583625506159,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",5,0,0,0,10,,,,,10,0,10,0,right,0.758854198328,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",5,0,0,0,10,,,,,11,0,11,0,down,0.858907172325,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",5,0,0,0,10,,,,,12,0,12,0,right,0.875446351376,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",5,0,0,0,10,,,,,13,0,13,0,down,0.642130597116,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",5,0,0,0,10,,,,,14,0,14,0,down,0.55030990977,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[3.0, 3.0]",3,0,1,1,26,,,,,0,0,0,0,down,2.2335533873,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[3.0, 3.0]",3,0,1,1,26,,,,,1,0,1,0,right,1.40881444809,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[3.0, 3.0]",3,0,1,1,26,,,,,2,0,2,0,right,0.675495535892,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[3.0, 3.0]",3,0,1,1,26,,,,,3,0,3,0,down,0.475485114774,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[3.0, 3.0]",3,0,1,1,26,,,,,4,0,4,0,down,0.983565032104,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",3,0,2,2,8,,,,,0,0,0,0,down,0.600324554587,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",3,0,2,2,8,,,,,1,0,1,0,down,0.67545961462,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",2,0,3,3,7,,,,,0,0,0,0,right,1.22545925937,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",2,0,3,3,7,,,,,1,0,1,0,right,0.475460246205,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",2,0,3,3,7,,,,,2,0,2,0,right,0.408785237378,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",2,0,3,3,7,,,,,3,0,3,0,right,0.458855145713,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",2,0,3,3,7,,,,,4,0,4,0,right,0.875491351646,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",2,0,3,3,7,,,,,5,0,5,0,right,0.74220291333,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",2,0,3,3,7,,,,,6,0,6,0,down,0.725484522656,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",2,0,3,3,7,,,,,7,0,7,0,right,0.475457088294,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",2,0,3,3,7,,,,,8,0,8,0,down,0.68358492697,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",2,0,3,3,7,,,,,9,0,9,0,right,1.49210324168,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",2,0,3,3,7,,,,,10,0,10,0,right,0.425479943704,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",2,0,3,3,7,,,,,11,0,11,0,right,0.842114570696,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",2,0,3,3,7,,,,,12,0,12,0,down,0.658803592756,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",2,0,3,3,7,,,,,13,0,13,0,down,0.458798698004,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.8, 2.8]",1,0,4,4,12,,,,,0,0,0,0,down,1.5421360445,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.8, 2.8]",1,0,4,4,12,,,,,1,0,1,0,down,0.908804579609,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.8, 2.8]",5,0,5,5,16,,,,,0,0,0,0,down,0.792137426106,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.8, 2.8]",5,0,5,5,16,,,,,1,0,1,0,right,0.808792658485,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.8, 2.8]",5,0,5,5,16,,,,,2,0,2,0,right,0.508767553067,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.8, 2.8]",5,0,5,5,16,,,,,3,0,3,0,right,1.14212230759,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.8, 2.8]",5,0,5,5,16,,,,,4,0,4,0,right,0.408936027772,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.8, 2.8]",5,0,5,5,16,,,,,5,0,5,0,down,0.492137978727,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.8, 2.8]",5,0,5,5,16,,,,,6,0,6,0,down,0.392161978874,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.8, 2.8]",4,0,6,6,15,,,,,0,0,0,0,down,0.450253383111,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.8, 2.8]",4,0,6,6,15,,,,,1,0,1,0,down,0.925514286006,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.9, 2.9]",5,0,7,7,22,,,,,0,0,0,0,down,0.458796724299,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.9, 2.9]",5,0,7,7,22,,,,,1,0,1,0,left,0.70874678978,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.9, 2.9]",5,0,7,7,22,,,,,2,0,2,0,left,0.675456851444,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.9, 2.9]",5,0,7,7,22,,,,,3,0,3,0,down,0.458787250551,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.9, 2.9]",5,0,7,7,22,,,,,4,0,4,0,down,0.392101189034,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.8, 2.8]",6,0,8,8,17,,,,,0,0,0,0,down,0.442123728644,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.8, 2.8]",6,0,8,8,17,,,,,1,0,1,0,down,2.90875010559,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.9, 2.9]",6,0,9,9,23,,,,,0,0,0,0,down,0.858834145576,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.9, 2.9]",6,0,9,9,23,,,,,1,0,1,0,down,0.708834027158,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",1,0,10,10,6,,,,,0,0,0,0,right,1.08358563749,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
"[2.7, 2.7]",1,0,10,10,6,,,,,1,0,1,0,down,0.808857395721,IZ,m,20,59.9961160181,Set,2017_12_14_2123,
