size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[3.0, 3.0]",2,0,0,0,25,,,,,0,0,0,0,down,5.14208875474,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[3.0, 3.0]",2,0,0,0,25,,,,,1,0,1,0,down,1.77544271978,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.6, 2.6]",1,0,1,1,0,,,,,0,0,0,0,down,1.1921207681,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.6, 2.6]",1,0,1,1,0,,,,,1,0,1,0,down,0.642111254885,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[3.0, 3.0]",6,0,2,2,29,,,,,0,0,0,0,down,2.99210679432,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[3.0, 3.0]",6,0,2,2,29,,,,,1,0,1,0,down,1.04212262339,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.9, 2.9]",4,0,3,3,21,,,,,0,0,0,0,down,0.658798066404,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.9, 2.9]",4,0,3,3,21,,,,,1,0,1,0,down,0.792110189097,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.8, 2.8]",6,0,4,4,17,,,,,0,0,0,0,down,0.508842948271,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.8, 2.8]",6,0,4,4,17,,,,,1,0,1,0,down,4.42542783814,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.8, 2.8]",4,0,5,5,15,,,,,0,0,0,0,right,1.96689756282,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.8, 2.8]",4,0,5,5,15,,,,,1,0,1,0,down,0.742114096996,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.8, 2.8]",4,0,5,5,15,,,,,2,0,2,0,down,2.34211970228,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[3.0, 3.0]",1,0,6,6,24,,,,,0,0,0,0,down,1.09213805766,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[3.0, 3.0]",1,0,6,6,24,,,,,1,0,1,0,down,0.592127794458,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.8, 2.8]",2,0,7,7,13,,,,,0,0,0,0,down,0.742121991789,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.8, 2.8]",2,0,7,7,13,,,,,1,0,1,0,down,0.775452193542,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.6, 2.6]",6,0,8,8,5,,,,,0,0,0,0,down,0.842131149722,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.6, 2.6]",6,0,8,8,5,,,,,1,0,1,0,down,0.558773118886,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.6, 2.6]",4,0,9,9,3,,,,,0,0,0,0,down,0.442130833952,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.6, 2.6]",4,0,9,9,3,,,,,1,0,1,0,down,0.625450496154,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.7, 2.7]",5,0,10,10,10,,,,,0,0,0,0,down,0.508812158601,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.7, 2.7]",5,0,10,10,10,,,,,1,0,1,0,down,0.442146623507,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.8, 2.8]",5,0,11,11,16,,,,,0,0,0,0,down,0.483564637369,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.8, 2.8]",5,0,11,11,16,,,,,1,0,1,0,down,1.50877505314,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.7, 2.7]",2,0,12,12,7,,,,,0,0,0,0,down,1.29213111024,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.7, 2.7]",2,0,12,12,7,,,,,1,0,1,0,down,0.675437114493,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.6, 2.6]",5,0,13,13,4,,,,,0,0,0,0,down,1.47527945563,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.6, 2.6]",5,0,13,13,4,,,,,1,0,1,0,down,0.750216514454,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.9, 2.9]",5,0,14,14,22,,,,,0,0,0,0,down,1.70027252796,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.9, 2.9]",5,0,14,14,22,,,,,1,0,1,0,down,0.825537496654,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.8, 2.8]",3,0,15,15,14,,,,,0,0,0,0,right,3.09210647855,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.8, 2.8]",3,0,15,15,14,,,,,1,0,1,0,down,0.575470588374,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.8, 2.8]",3,0,15,15,14,,,,,2,0,2,0,down,1.10880671119,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.7, 2.7]",3,0,16,16,8,,,,,0,0,0,0,down,0.808784763678,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.7, 2.7]",3,0,16,16,8,,,,,1,0,1,0,down,0.492143110343,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[3.0, 3.0]",3,0,17,17,26,,,,,0,0,0,0,down,4.03352520292,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[3.0, 3.0]",3,0,17,17,26,,,,,1,0,1,0,down,1.20878823742,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.8, 2.8]",1,0,18,18,12,,,,,0,0,0,0,down,0.742104228528,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.8, 2.8]",1,0,18,18,12,,,,,1,0,1,0,down,0.508796369017,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[3.0, 3.0]",4,0,19,19,27,,,,,0,0,0,0,down,0.733615361358,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[3.0, 3.0]",4,0,19,19,27,,,,,1,0,1,0,down,0.892099215358,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.9, 2.9]",6,0,20,20,23,,,,,0,0,0,0,down,1.03373836211,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.9, 2.9]",6,0,20,20,23,,,,,1,0,1,0,down,0.450247462053,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.7, 2.7]",1,0,21,21,6,,,,,0,0,0,0,down,1.25891577767,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.7, 2.7]",1,0,21,21,6,,,,,1,0,1,0,down,0.475537220365,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[3.0, 3.0]",5,0,22,22,28,,,,,0,0,0,0,down,0.84212799184,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[3.0, 3.0]",5,0,22,22,28,,,,,1,0,1,0,down,0.592145557719,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.7, 2.7]",6,0,23,23,11,,,,,0,0,0,0,down,0.800229580345,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.7, 2.7]",6,0,23,23,11,,,,,1,0,1,0,down,0.475467746262,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.9, 2.9]",2,0,24,24,19,,,,,0,0,0,0,down,0.542114728596,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.9, 2.9]",2,0,24,24,19,,,,,1,0,1,0,down,0.475455509353,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.9, 2.9]",3,0,25,25,20,,,,,0,0,0,0,right,1.79213821556,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.9, 2.9]",3,0,25,25,20,,,,,1,0,1,0,down,1.32564249731,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.9, 2.9]",3,0,25,25,20,,,,,2,0,2,0,down,0.125412206457,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.7, 2.7]",4,0,26,26,9,,,,,0,0,0,0,down,0.675448167196,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.7, 2.7]",4,0,26,26,9,,,,,1,0,1,0,down,0.392131978704,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.6, 2.6]",2,0,27,27,1,,,,,0,0,0,0,down,0.516899970709,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
"[2.6, 2.6]",2,0,27,27,1,,,,,1,0,1,0,down,0.458790013741,LDU,f,21,60.0064902159,Set,2017_12_15_1838,
