size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[3.0, 3.0]",5,0,0,0,28,,,,,0,0,0,0,down,1.19211366281,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[3.0, 3.0]",5,0,0,0,28,,,,,1,0,1,0,down,2.84189667462,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.9, 2.9]",2,0,1,1,19,,,,,0,0,0,0,down,1.04208630737,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.9, 2.9]",2,0,1,1,19,,,,,1,0,1,0,down,0.842122465489,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.6, 2.6]",4,0,2,2,3,,,,,0,0,0,0,down,0.69211761019,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.6, 2.6]",4,0,2,2,3,,,,,1,0,1,0,down,0.775486535858,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[3.0, 3.0]",3,0,3,3,26,,,,,0,0,0,0,down,0.492117847025,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[3.0, 3.0]",3,0,3,3,26,,,,,1,0,1,0,down,0.575470193638,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[3.0, 3.0]",2,0,4,4,25,,,,,0,0,0,0,down,1.85876822411,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[3.0, 3.0]",2,0,4,4,25,,,,,1,0,1,0,down,0.808843579842,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",6,0,5,5,11,,,,,0,0,0,0,down,1.00875571088,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",6,0,5,5,11,,,,,1,0,1,0,down,0.492136399786,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.9, 2.9]",4,0,6,6,21,,,,,0,0,0,0,down,0.53356388738,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.9, 2.9]",4,0,6,6,21,,,,,1,0,1,0,down,0.408795500582,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[3.0, 3.0]",1,0,7,7,24,,,,,0,0,0,0,down,1.50876873729,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[3.0, 3.0]",1,0,7,7,24,,,,,1,0,1,0,down,0.658775961027,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.8, 2.8]",3,0,8,8,14,,,,,0,0,0,0,down,0.425467312045,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.8, 2.8]",3,0,8,8,14,,,,,1,0,1,0,down,0.342120097048,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.8, 2.8]",4,0,9,9,15,,,,,0,0,0,0,down,0.358837303473,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.8, 2.8]",4,0,9,9,15,,,,,1,0,1,0,down,0.29213426818,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.9, 2.9]",5,0,10,10,22,,,,,0,0,0,0,down,0.48360095339,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.9, 2.9]",5,0,10,10,22,,,,,1,0,1,0,down,0.375448325067,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.9, 2.9]",6,0,11,11,23,,,,,0,0,0,0,down,0.516900365474,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.9, 2.9]",6,0,11,11,23,,,,,1,0,1,0,down,0.37547319365,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[3.0, 3.0]",4,0,12,12,27,,,,,0,0,0,0,down,0.72543754871,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[3.0, 3.0]",4,0,12,12,27,,,,,1,0,1,0,down,0.675468298898,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.6, 2.6]",5,0,13,13,4,,,,,0,0,0,0,down,0.891944477538,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.6, 2.6]",5,0,13,13,4,,,,,1,0,1,0,down,0.325468417315,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",1,0,14,14,6,,,,,0,0,0,0,down,1.52543975925,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",1,0,14,14,6,,,,,1,0,1,0,down,0.292063215136,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.8, 2.8]",2,0,15,15,13,,,,,0,0,0,0,down,0.558790092677,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.8, 2.8]",2,0,15,15,13,,,,,1,0,1,0,down,0.258782750519,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[3.0, 3.0]",6,0,16,16,29,,,,,0,0,0,0,down,0.442112281191,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[3.0, 3.0]",6,0,16,16,29,,,,,1,0,1,0,down,0.158793329523,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",2,0,17,17,7,,,,,0,0,0,0,down,0.450237988291,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",2,0,17,17,7,,,,,1,0,1,0,down,0.425522970269,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",4,0,18,18,9,,,,,0,0,0,0,down,0.708800869063,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",4,0,18,18,9,,,,,1,0,1,0,down,0.275505483325,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.9, 2.9]",3,0,19,19,20,,,,,0,0,0,0,down,1.27544508822,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.9, 2.9]",3,0,19,19,20,,,,,1,0,1,0,down,0.650225909252,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",5,0,20,20,10,,,,,0,0,0,0,left,2.18354979518,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",5,0,20,20,10,,,,,1,0,1,0,down,0.833558992599,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",5,0,20,20,10,,,,,2,0,2,0,left,0.766855957278,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",5,0,20,20,10,,,,,3,0,3,0,left,0.575414535415,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",5,0,20,20,10,,,,,4,0,4,0,left,0.50879597431,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",5,0,20,20,10,,,,,5,0,5,0,left,0.475455114589,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",5,0,20,20,10,,,,,6,0,6,0,left,0.942165571003,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",5,0,20,20,10,,,,,7,0,7,0,left,0.558752592449,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",5,0,20,20,10,,,,,8,0,8,0,left,0.475517483399,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",5,0,20,20,10,,,,,9,0,9,0,left,4.05875101351,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",5,0,20,20,10,,,,,10,0,10,0,left,0.725475443673,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",5,0,20,20,10,,,,,11,0,11,0,left,1.34210193902,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",5,0,20,20,10,,,,,12,0,12,0,left,1.30883805349,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",5,0,20,20,10,,,,,13,0,13,0,down,0.542113544361,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",5,0,20,20,10,,,,,14,0,14,0,down,1.09208397841,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.6, 2.6]",2,0,21,21,1,,,,,0,0,0,0,down,1.6921116891,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.6, 2.6]",2,0,21,21,1,,,,,1,0,1,0,left,1.20879968486,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.6, 2.6]",2,0,21,21,1,,,,,2,0,2,0,down,5.65873096074,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.6, 2.6]",2,0,21,21,1,,,,,3,0,3,0,down,0.675466719927,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.6, 2.6]",3,0,22,22,2,,,,,0,0,0,0,left,2.83359649283,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.6, 2.6]",3,0,22,22,2,,,,,1,0,1,0,left,1.30876700042,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.6, 2.6]",3,0,22,22,2,,,,,2,0,2,0,left,1.00878136896,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.6, 2.6]",3,0,22,22,2,,,,,3,0,3,0,down,0.658774776792,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.6, 2.6]",3,0,22,22,2,,,,,4,0,4,0,down,0.44210912328,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.8, 2.8]",6,0,23,23,17,,,,,0,0,0,0,right,1.992119426,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.8, 2.8]",6,0,23,23,17,,,,,1,0,1,0,down,0.542132886592,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.8, 2.8]",6,0,23,23,17,,,,,2,0,2,0,down,0.292142162973,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",3,0,24,24,8,,,,,0,0,0,0,down,0.725454127736,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",3,0,24,24,8,,,,,1,0,1,0,down,0.392130004999,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",3,0,24,24,8,,,,,2,0,2,0,right,0.592118320696,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",3,0,24,24,8,,,,,3,0,3,0,down,0.475433798681,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",3,0,24,24,8,,,,,4,0,4,0,right,1.10881776392,MM2,m,25,59.996968548,Set,2017_12_15_1634,
"[2.7, 2.7]",3,0,24,24,8,,,,,5,0,5,0,down,0.408794711111,MM2,m,25,59.996968548,Set,2017_12_15_1634,
