size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.7, 2.7]",5,0,0,0,10,,,,,0,0,0,0,down,6.80886094837,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.7, 2.7]",5,0,0,0,10,,,,,1,0,1,0,down,3.98361319028,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[3.0, 3.0]",6,0,1,1,29,,,,,0,0,0,0,down,5.56686882579,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[3.0, 3.0]",6,0,1,1,29,,,,,1,0,1,0,down,1.25034954159,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.7, 2.7]",1,0,2,2,6,,,,,0,0,0,0,right,2.43353972932,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.7, 2.7]",1,0,2,2,6,,,,,1,0,1,0,down,1.13363659833,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.7, 2.7]",1,0,2,2,6,,,,,2,0,2,0,right,7.69149826434,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.7, 2.7]",1,0,2,2,6,,,,,3,0,3,0,down,1.35038041019,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.7, 2.7]",1,0,2,2,6,,,,,4,0,4,0,down,0.866989852846,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.7, 2.7]",1,0,2,2,6,,,,,5,0,5,0,right,1.93357644007,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.7, 2.7]",1,0,2,2,6,,,,,6,0,6,0,down,0.916892786467,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.7, 2.7]",1,0,2,2,6,,,,,7,0,7,0,right,1.05030359395,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.7, 2.7]",1,0,2,2,6,,,,,8,0,8,0,right,0.766929773512,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.7, 2.7]",1,0,2,2,6,,,,,9,0,9,0,right,1.08359905863,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.7, 2.7]",1,0,2,2,6,,,,,10,0,10,0,right,0.716946313085,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.7, 2.7]",1,0,2,2,6,,,,,11,0,11,0,down,0.900254133114,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.7, 2.7]",1,0,2,2,6,,,,,12,0,12,0,down,0.733663914274,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.8, 2.8]",2,0,3,3,13,,,,,0,0,0,0,down,1.00008052681,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.8, 2.8]",2,0,3,3,13,,,,,1,0,1,0,down,0.867002484491,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.8, 2.8]",2,0,3,3,13,,,,,2,0,2,0,right,1.70883126397,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.8, 2.8]",2,0,3,3,13,,,,,3,0,3,0,left,2.43354288723,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.8, 2.8]",2,0,3,3,13,,,,,4,0,4,0,down,0.733738125258,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.8, 2.8]",2,0,3,3,13,,,,,5,0,5,0,down,0.775459298835,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.8, 2.8]",2,0,3,3,13,,,,,6,0,6,0,right,1.29218597902,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.8, 2.8]",2,0,3,3,13,,,,,7,0,7,0,down,0.958783303155,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.8, 2.8]",2,0,3,3,13,,,,,8,0,8,0,down,0.725537417718,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.6, 2.6]",5,0,4,4,4,,,,,0,0,0,0,right,1.43361512452,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.6, 2.6]",5,0,4,4,4,,,,,1,0,1,0,down,0.933596177027,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.6, 2.6]",5,0,4,4,4,,,,,2,0,2,0,right,1.44166109427,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.6, 2.6]",5,0,4,4,4,,,,,3,0,3,0,right,0.900317291394,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.6, 2.6]",5,0,4,4,4,,,,,4,0,4,0,right,2.06693593145,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.6, 2.6]",5,0,4,4,4,,,,,5,0,5,0,down,0.783614216605,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.6, 2.6]",5,0,4,4,4,,,,,6,0,6,0,down,0.733597203347,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[3.0, 3.0]",3,0,5,5,26,,,,,0,0,0,0,down,0.825498417486,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[3.0, 3.0]",3,0,5,5,26,,,,,1,0,1,0,down,0.816861917847,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[3.0, 3.0]",3,0,5,5,26,,,,,2,0,2,0,right,0.9087623425,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[3.0, 3.0]",3,0,5,5,26,,,,,3,0,3,0,down,1.45878882951,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[3.0, 3.0]",3,0,5,5,26,,,,,4,0,4,0,down,1.5335623084,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.8, 2.8]",1,0,6,6,12,,,,,0,0,0,0,down,1.14211757071,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.8, 2.8]",1,0,6,6,12,,,,,1,0,1,0,right,1.2087621846,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.8, 2.8]",1,0,6,6,12,,,,,2,0,2,0,down,0.75023546195,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.8, 2.8]",1,0,6,6,12,,,,,3,0,3,0,down,0.775477851581,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.7, 2.7]",2,0,7,7,7,,,,,0,0,0,0,right,0.892136715556,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.7, 2.7]",2,0,7,7,7,,,,,1,0,1,0,down,0.742161070972,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.7, 2.7]",2,0,7,7,7,,,,,2,0,2,0,down,0.625457996182,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.7, 2.7]",4,0,8,8,9,,,,,0,0,0,0,down,0.808855027281,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.7, 2.7]",4,0,8,8,9,,,,,1,0,1,0,down,0.775531141378,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.6, 2.6]",2,0,9,9,1,,,,,0,0,0,0,left,1.09200818847,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.6, 2.6]",2,0,9,9,1,,,,,1,0,1,0,left,1.59211792597,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.6, 2.6]",2,0,9,9,1,,,,,2,0,2,0,down,0.908817606003,MO,f,26,59.9989579048,Set,2017_12_14_1943,
"[2.6, 2.6]",2,0,9,9,1,,,,,3,0,3,0,down,0.842133912913,MO,f,26,59.9989579048,Set,2017_12_14_1943,
