size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.9, 2.9]",5,0,0,0,22,,,,,0,0,0,0,down,4.40006742143,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.9, 2.9]",5,0,0,0,22,,,,,1,0,1,0,down,1.83360399288,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.8, 2.8]",3,0,1,1,14,,,,,0,0,0,0,down,1.46673493023,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.8, 2.8]",3,0,1,1,14,,,,,1,0,1,0,down,1.60023889621,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[3.0, 3.0]",3,0,2,2,26,,,,,0,0,0,0,down,1.21689776017,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[3.0, 3.0]",3,0,2,2,26,,,,,1,0,1,0,down,1.23357075587,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.9, 2.9]",3,0,3,3,20,,,,,0,0,0,0,down,0.666903247009,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.9, 2.9]",3,0,3,3,20,,,,,1,0,1,0,down,1.05024438311,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.8, 2.8]",6,0,4,4,17,,,,,0,0,0,0,down,2.00025658053,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.8, 2.8]",6,0,4,4,17,,,,,1,0,1,0,down,0.983720559336,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.7, 2.7]",2,0,5,5,7,,,,,0,0,0,0,down,2.28356961109,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.7, 2.7]",2,0,5,5,7,,,,,1,0,1,0,down,0.750244540977,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[3.0, 3.0]",6,0,6,6,29,,,,,0,0,0,0,down,2.05025819899,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[3.0, 3.0]",6,0,6,6,29,,,,,1,0,1,0,down,0.900206764403,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.9, 2.9]",4,0,7,7,21,,,,,0,0,0,0,down,2.58338392572,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.9, 2.9]",4,0,7,7,21,,,,,1,0,1,0,down,0.983594637539,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.7, 2.7]",5,0,8,8,10,,,,,0,0,0,0,down,1.95027548849,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.7, 2.7]",5,0,8,8,10,,,,,1,0,1,0,down,1.36696774745,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.6, 2.6]",1,0,9,9,0,,,,,0,0,0,0,down,1.28358184797,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.6, 2.6]",1,0,9,9,0,,,,,1,0,1,0,down,1.31688876014,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.6, 2.6]",5,0,10,10,4,,,,,0,0,0,0,right,7.05018556694,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.6, 2.6]",5,0,10,10,4,,,,,1,0,1,0,down,0.816915602365,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.6, 2.6]",5,0,10,10,4,,,,,2,0,2,0,down,1.63356396626,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.7, 2.7]",6,0,11,11,11,,,,,0,0,0,0,down,1.0171151036,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.7, 2.7]",6,0,11,11,11,,,,,1,0,1,0,down,0.750255198916,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[3.0, 3.0]",1,0,12,12,24,,,,,0,0,0,0,down,0.516916944529,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[3.0, 3.0]",1,0,12,12,24,,,,,1,0,1,0,down,1.16688745748,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.8, 2.8]",1,0,13,13,12,,,,,0,0,0,0,down,0.483600558655,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.8, 2.8]",1,0,13,13,12,,,,,1,0,1,0,down,0.55026688322,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.8, 2.8]",1,0,13,13,12,,,,,2,0,2,0,right,1.46692440507,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.8, 2.8]",1,0,13,13,12,,,,,3,0,3,0,down,0.783413294354,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.8, 2.8]",1,0,13,13,12,,,,,4,0,4,0,down,0.433574071678,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.8, 2.8]",5,0,14,14,16,,,,,0,0,0,0,left,0.883576005872,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.8, 2.8]",5,0,14,14,16,,,,,1,0,1,0,down,0.816895075957,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.8, 2.8]",5,0,14,14,16,,,,,2,0,2,0,down,0.850273435877,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
"[2.9, 2.9]",2,0,15,15,19,,,,,0,0,0,0,left,1.4835642426,MUSs,m,26,59.9892965779,Set,2017_12_18_1912,
