size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.8, 2.8]",4,0,0,0,15,,,,,0,0,0,0,right,5.66681640444,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,1,0,1,0,right,2.50877663214,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,2,0,2,0,right,1.85874414514,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,3,0,3,0,right,0.475465772557,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,4,0,4,0,right,0.475419982802,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,5,0,5,0,right,0.325453022495,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,6,0,6,0,right,0.333521887078,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,7,0,7,0,right,0.400230843574,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,8,0,8,0,right,0.375446351361,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,9,0,9,0,left,0.325442759204,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,10,0,10,0,left,0.525481206831,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,11,0,11,0,down,0.642129018204,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,12,0,12,0,left,0.458763566101,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,13,0,13,0,left,0.541967096156,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,14,0,14,0,right,0.608790921629,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,15,0,15,0,left,0.308792263735,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,16,0,16,0,right,0.608788158512,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,17,0,17,0,left,0.292137426091,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,18,0,18,0,left,0.258807224338,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,19,0,19,0,left,0.192135768128,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,20,0,20,0,left,0.192142084008,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,21,0,21,0,left,0.142127439147,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,22,0,22,0,left,0.158797276905,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,23,0,23,0,left,0.542120254948,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,24,0,24,0,left,0.392103162711,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,25,0,25,0,left,0.2087913953,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,26,0,26,0,left,0.208896790748,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,27,0,27,0,left,0.358799408539,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,28,0,28,0,down,0.54211749183,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,29,0,29,0,left,0.592144768219,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,30,0,30,0,down,0.775457325042,OR,f,21,60.0107546239,Set,2017_12_20_1953,
"[2.8, 2.8]",4,0,0,0,15,,,,,31,0,31,0,left,0.342130754958,OR,f,21,60.0107546239,Set,2017_12_20_1953,
