size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.7, 2.7]",1,0,0,0,6,,,,,0,0,0,0,down,6.27547035157,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[2.7, 2.7]",1,0,0,0,6,,,,,1,0,1,0,right,4.5087861059,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[2.7, 2.7]",1,0,0,0,6,,,,,2,0,2,0,down,0.842108649667,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[2.7, 2.7]",1,0,0,0,6,,,,,3,0,3,0,down,0.358792697894,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[2.9, 2.9]",5,0,1,1,22,,,,,0,0,0,0,left,4.00875926355,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[2.9, 2.9]",5,0,1,1,22,,,,,1,0,1,0,down,2.05878140847,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[2.9, 2.9]",5,0,1,1,22,,,,,2,0,2,0,down,1.69195655663,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[2.9, 2.9]",5,0,1,1,22,,,,,3,0,3,0,left,2.24211764964,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[2.9, 2.9]",5,0,1,1,22,,,,,4,0,4,0,left,0.742222255445,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[2.9, 2.9]",5,0,1,1,22,,,,,5,0,5,0,left,0.642117175972,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[2.9, 2.9]",5,0,1,1,22,,,,,6,0,6,0,left,4.14208322845,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[2.9, 2.9]",5,0,1,1,22,,,,,7,0,7,0,down,0.625459575211,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[2.9, 2.9]",5,0,1,1,22,,,,,8,0,8,0,down,1.22546715417,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[2.6, 2.6]",1,0,2,2,0,,,,,0,0,0,0,down,2.75017506687,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[2.6, 2.6]",1,0,2,2,0,,,,,1,0,1,0,down,0.708789421595,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[3.0, 3.0]",5,0,3,3,28,,,,,0,0,0,0,down,0.800224843435,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[3.0, 3.0]",5,0,3,3,28,,,,,1,0,1,0,down,0.675437903963,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[2.8, 2.8]",4,0,4,4,15,,,,,0,0,0,0,left,2.87548661476,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[2.8, 2.8]",4,0,4,4,15,,,,,1,0,1,0,down,1.17548961483,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[2.8, 2.8]",4,0,4,4,15,,,,,2,0,2,0,down,0.642125465441,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[2.8, 2.8]",1,0,5,5,12,,,,,0,0,0,0,down,2.48354805831,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[2.8, 2.8]",1,0,5,5,12,,,,,1,0,1,0,down,0.858779671486,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[2.7, 2.7]",3,0,6,6,8,,,,,0,0,0,0,down,2.25878511893,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[2.7, 2.7]",3,0,6,6,8,,,,,1,0,1,0,down,0.55887969851,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[3.0, 3.0]",1,0,7,7,24,,,,,0,0,0,0,left,0.675465535722,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[3.0, 3.0]",1,0,7,7,24,,,,,1,0,1,0,down,0.875459772535,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[3.0, 3.0]",1,0,7,7,24,,,,,2,0,2,0,left,0.725483733229,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[3.0, 3.0]",1,0,7,7,24,,,,,3,0,3,0,down,0.658835566603,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
"[3.0, 3.0]",1,0,7,7,24,,,,,4,0,4,0,down,0.692121162778,PIAs,m,24,60.0131714195,Set,2017_12_21_1705,
