size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.9, 2.9]",3,0,0,0,20,,,,,0,0,0,0,right,3.09211239964,PISH,f,22,60.0192852585,Set,2017_12_20_1925,
"[2.9, 2.9]",3,0,0,0,20,,,,,1,0,1,0,right,2.34211575484,PISH,f,22,60.0192852585,Set,2017_12_20_1925,
"[2.9, 2.9]",3,0,0,0,20,,,,,2,0,2,0,right,0.975465772557,PISH,f,22,60.0192852585,Set,2017_12_20_1925,
"[2.9, 2.9]",3,0,0,0,20,,,,,3,0,3,0,left,0.57546348311,PISH,f,22,60.0192852585,Set,2017_12_20_1925,
"[2.9, 2.9]",3,0,0,0,20,,,,,4,0,4,0,left,0.458780145273,PISH,f,22,60.0192852585,Set,2017_12_20_1925,
"[2.9, 2.9]",3,0,0,0,20,,,,,5,0,5,0,down,0.54212104436,PISH,f,22,60.0192852585,Set,2017_12_20_1925,
"[2.9, 2.9]",3,0,0,0,20,,,,,6,0,6,0,left,0.87550556229,PISH,f,22,60.0192852585,Set,2017_12_20_1925,
"[2.9, 2.9]",3,0,0,0,20,,,,,7,0,7,0,right,0.44211228122,PISH,f,22,60.0192852585,Set,2017_12_20_1925,
"[2.9, 2.9]",3,0,0,0,20,,,,,8,0,8,0,down,0.675451719784,PISH,f,22,60.0192852585,Set,2017_12_20_1925,
"[2.9, 2.9]",3,0,0,0,20,,,,,9,0,9,0,right,0.342170228832,PISH,f,22,60.0192852585,Set,2017_12_20_1925,
"[2.9, 2.9]",3,0,0,0,20,,,,,10,0,10,0,left,0.575448482996,PISH,f,22,60.0192852585,Set,2017_12_20_1925,
"[2.9, 2.9]",3,0,0,0,20,,,,,11,0,11,0,down,0.575521509745,PISH,f,22,60.0192852585,Set,2017_12_20_1925,
