size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.8, 2.8]",1,0,0,0,12,,,,,0,0,0,0,down,3.50878373739,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.8, 2.8]",1,0,0,0,12,,,,,1,0,1,0,right,3.84211220226,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.8, 2.8]",1,0,0,0,12,,,,,2,0,2,0,right,2.72544781193,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.8, 2.8]",1,0,0,0,12,,,,,3,0,3,0,down,1.79213584714,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.8, 2.8]",1,0,0,0,12,,,,,4,0,4,0,right,2.54208986003,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.8, 2.8]",1,0,0,0,12,,,,,5,0,5,0,right,1.19213497872,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.8, 2.8]",1,0,0,0,12,,,,,6,0,6,0,down,1.64211362333,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.8, 2.8]",1,0,0,0,12,,,,,7,0,7,0,down,1.55878377685,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,0,0,0,0,right,3.10022113292,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,1,0,1,0,right,1.30878357949,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,2,0,2,0,down,1.14194388545,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,3,0,3,0,right,0.616920970831,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,4,0,4,0,right,2.90877971103,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,5,0,5,0,down,0.792115320699,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,6,0,6,0,right,2.80878673738,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,7,0,7,0,down,2.37550082539,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,8,0,8,0,right,1.12544615402,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,9,0,9,0,right,4.9587635662,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,10,0,10,0,down,1.37544082504,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,11,0,11,0,right,1.40880615856,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,12,0,12,0,right,1.13351778181,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,13,0,13,0,down,0.4169022602,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,14,0,14,0,down,0.792152031456,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,15,0,15,0,right,1.30876976361,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,16,0,16,0,down,0.94209728112,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,17,0,17,0,right,0.958777382068,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,18,0,18,0,down,3.29211334699,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,19,0,19,0,right,0.242128307611,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,20,0,20,0,right,0.3588313824,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,21,0,21,0,right,0.292127557623,PK,f,18,59.9931323229,Set,2017_12_14_2134,
"[2.6, 2.6]",2,0,1,1,1,,,,,22,0,22,0,down,0.408813263872,PK,f,18,59.9931323229,Set,2017_12_14_2134,
