size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.8, 2.8]",4,0,0,0,15,,,,,0,0,0,0,down,4.56687514161,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.8, 2.8]",4,0,0,0,15,,,,,1,0,1,0,down,3.35874493452,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.8, 2.8]",3,0,1,1,14,,,,,0,0,0,0,down,2.81689389172,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.8, 2.8]",3,0,1,1,14,,,,,1,0,1,0,down,1.24209909694,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[3.0, 3.0]",6,0,2,2,29,,,,,0,0,0,0,down,5.30873660551,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[3.0, 3.0]",6,0,2,2,29,,,,,1,0,1,0,down,2.34219430803,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.7, 2.7]",3,0,3,3,8,,,,,0,0,0,0,left,2.96698756336,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.7, 2.7]",3,0,3,3,8,,,,,1,0,1,0,down,2.00019855381,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.7, 2.7]",3,0,3,3,8,,,,,2,0,2,0,down,1.86689945756,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.9, 2.9]",5,0,4,4,22,,,,,0,0,0,0,left,6.25017546158,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.9, 2.9]",5,0,4,4,22,,,,,1,0,1,0,down,1.84214101822,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.9, 2.9]",5,0,4,4,22,,,,,2,0,2,0,down,1.27545298298,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.9, 2.9]",5,0,4,4,22,,,,,3,0,3,0,right,1.24211922861,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.9, 2.9]",5,0,4,4,22,,,,,4,0,4,0,down,1.32545973305,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.9, 2.9]",5,0,4,4,22,,,,,5,0,5,0,down,1.45877264522,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.9, 2.9]",3,0,5,5,20,,,,,0,0,0,0,down,2.02544173293,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.9, 2.9]",3,0,5,5,20,,,,,1,0,1,0,down,1.24211764967,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.9, 2.9]",3,0,5,5,20,,,,,2,0,2,0,left,1.8587690136,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.9, 2.9]",3,0,5,5,20,,,,,3,0,3,0,left,1.60878657948,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.9, 2.9]",3,0,5,5,20,,,,,4,0,4,0,down,1.07547374628,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.9, 2.9]",3,0,5,5,20,,,,,5,0,5,0,left,1.33343741292,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.9, 2.9]",3,0,5,5,20,,,,,6,0,6,0,down,1.30022089608,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.9, 2.9]",3,0,5,5,20,,,,,7,0,7,0,down,1.19211800492,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.6, 2.6]",4,0,6,6,3,,,,,0,0,0,0,down,1.53355993997,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.6, 2.6]",4,0,6,6,3,,,,,1,0,1,0,down,0.875464509416,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.6, 2.6]",4,0,6,6,3,,,,,2,0,2,0,left,0.842092465318,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.6, 2.6]",4,0,6,6,3,,,,,3,0,3,0,down,0.692140899802,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.6, 2.6]",4,0,6,6,3,,,,,4,0,4,0,down,0.675478562101,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.7, 2.7]",4,0,7,7,9,,,,,0,0,0,0,left,1.13357067687,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.7, 2.7]",4,0,7,7,9,,,,,1,0,1,0,left,0.858766250429,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.7, 2.7]",4,0,7,7,9,,,,,2,0,2,0,left,1.57546071991,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.7, 2.7]",4,0,7,7,9,,,,,3,0,3,0,down,0.742106596939,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.7, 2.7]",4,0,7,7,9,,,,,4,0,4,0,left,0.708733368665,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.7, 2.7]",4,0,7,7,9,,,,,5,0,5,0,down,0.858791513718,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
"[2.7, 2.7]",4,0,7,7,9,,,,,6,0,6,0,left,1.12540352216,RAA,f,22,59.9999526353,Set,2017_12_15_1946,
