size,n,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
"[2.6, 2.6]",2,0,0,0,1,,,,,0,0,0,0,down,4.32542973285,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",2,0,0,0,1,,,,,1,0,1,0,down,4.54206775461,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.9, 2.9]",4,0,1,1,21,,,,,0,0,0,0,left,1.89209171529,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.9, 2.9]",4,0,1,1,21,,,,,1,0,1,0,down,1.25877603996,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.9, 2.9]",4,0,1,1,21,,,,,2,0,2,0,down,0.708809948061,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.8, 2.8]",4,0,2,2,15,,,,,0,0,0,0,left,1.76689424699,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.8, 2.8]",4,0,2,2,15,,,,,1,0,1,0,left,0.825456575127,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.8, 2.8]",4,0,2,2,15,,,,,2,0,2,0,down,0.87526003446,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.8, 2.8]",4,0,2,2,15,,,,,3,0,3,0,down,0.642136123453,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,0,0,0,0,left,0.775507851751,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,1,0,1,0,left,1.09214042612,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,2,0,2,0,left,0.575459140935,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,3,0,3,0,down,1.14213651819,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,4,0,4,0,left,0.725481364745,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,5,0,5,0,left,0.692136162921,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,6,0,6,0,left,0.492120610215,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,7,0,7,0,down,1.44208267577,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,8,0,8,0,down,1.02547646999,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,9,0,9,0,left,0.600234159312,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,10,0,10,0,left,0.700218053942,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,11,0,11,0,left,0.616907154967,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,12,0,12,0,left,0.808826606051,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,13,0,13,0,left,0.825492496399,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,14,0,14,0,down,0.608942106759,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,15,0,15,0,left,0.958793171638,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,16,0,16,0,left,1.42543178551,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,17,0,17,0,left,0.95878409264,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,18,0,18,0,left,0.725468733101,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,19,0,19,0,down,0.675471456809,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,20,0,20,0,down,3.01686207575,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,21,0,21,0,left,0.741954227618,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
"[2.6, 2.6]",6,0,3,3,5,,,,,22,0,22,0,left,0.54214236034,ZVV,f,25,60.0050688795,Set,2017_12_14_1917,
